backend,run_id,split,kind,ordinal,polarity,effective_auc,real_mean_oriented,fake_mean_oriented,fake_minus_real_mean,onset_count,onset_delta_mean,onset_positive_frac,offset_count,offset_delta_mean,offset_negative_frac,missing_window_count
efficientnet_b4,validation_real_only_01__efficientnet_b4,validation,real_only,1,low,0.5,0.648145,,,0,,,0,,,0
efficientnet_b4,validation_fake_only_01__efficientnet_b4,validation,fake_only,1,low,0.5,,0.616448,,0,,,0,,,0
efficientnet_b4,validation_mixed_01__efficientnet_b4,validation,mixed,1,low,0.435683,0.686806,0.65589,-0.030916,15,0.068032,0.4,15,0.000407,0.4,0
effort_clip_l14,validation_real_only_01__effort_clip_l14,validation,real_only,1,low,0.5,0.139202,,,0,,,0,,,0
effort_clip_l14,validation_fake_only_01__effort_clip_l14,validation,fake_only,1,low,0.5,,0.167451,,0,,,0,,,0
effort_clip_l14,validation_mixed_01__effort_clip_l14,validation,mixed,1,low,0.518739,0.184197,0.159377,-0.02482,15,-0.027174,0.533333,15,0.14907,0.333333,0
f3net,validation_real_only_01__f3net,validation,real_only,1,high,0.5,0.482527,,,0,,,0,,,0
f3net,validation_fake_only_01__f3net,validation,fake_only,1,high,0.5,,0.600043,,0,,,0,,,14
f3net,validation_mixed_01__f3net,validation,mixed,1,high,0.494339,0.553519,0.548267,-0.005252,15,-0.068741,0.533333,15,0.063062,0.333333,0
i3d,validation_real_only_01__i3d,validation,real_only,1,low,0.5,0.304529,,,0,,,0,,,0
i3d,validation_fake_only_01__i3d,validation,fake_only,1,low,0.5,,0.302305,,0,,,0,,,0
i3d,validation_mixed_01__i3d,validation,mixed,1,low,0.523972,0.29986,0.301896,0.002036,15,0.004671,0.4,15,-0.006733,0.666667,0
videomae,validation_real_only_01__videomae,validation,real_only,1,low,0.5,0.52714,,,0,,,0,,,0
videomae,validation_fake_only_01__videomae,validation,fake_only,1,low,0.5,,0.521891,,0,,,0,,,0
videomae,validation_mixed_01__videomae,validation,mixed,1,low,0.542617,0.475093,0.521052,0.045958,15,-0.021005,0.533333,15,0.05372,0.333333,0
xception_df40,validation_real_only_01__xception_df40,validation,real_only,1,low,0.5,0.212561,,,0,,,0,,,0
xception_df40,validation_fake_only_01__xception_df40,validation,fake_only,1,low,0.5,,0.236865,,0,,,0,,,0
xception_df40,validation_mixed_01__xception_df40,validation,mixed,1,low,0.494961,0.273016,0.239572,-0.033444,15,0.039562,0.466667,15,0.017282,0.533333,0
