backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.633245,0.633245,205,157,0.517812,0.205346,0.194954,0.370117,0.506117,0.67476,0.856076,0.614002,0.198363,0.28646,0.476733,0.61833,0.760901,0.922991,0.09619
efficientnet_b4,all,score_raw,high,0.595698,0.595698,400,362,0.514348,0.207044,0.200317,0.359065,0.507044,0.657917,0.864904,0.583903,0.217794,0.222639,0.430071,0.594142,0.744937,0.923677,0.069555
effort_clip_l14,calibration,score_raw,high,0.518347,0.518347,205,157,0.502931,2.1e-05,0.502909,0.502929,0.502935,0.502941,0.502947,0.502934,1.2e-05,0.502913,0.502926,0.502935,0.502942,0.502949,3e-06
effort_clip_l14,all,score_raw,high,0.557983,0.557983,400,362,0.502931,1.9e-05,0.502906,0.502926,0.502935,0.502942,0.50295,0.502935,1.4e-05,0.502916,0.502929,0.502937,0.502944,0.502952,4e-06
f3net,calibration,score_raw,high,0.591207,0.591207,205,157,0.517113,0.231436,0.144737,0.346305,0.505369,0.686023,0.909863,0.590966,0.228457,0.202192,0.412925,0.589002,0.76751,0.950881,0.073854
f3net,all,score_raw,high,0.622279,0.622279,400,362,0.505737,0.235663,0.131403,0.326871,0.500986,0.664281,0.909602,0.610518,0.236616,0.204536,0.435742,0.612657,0.816776,0.959664,0.104781
i3d,calibration,score_raw,low,0.499083,0.500917,205,157,0.687562,0.02698,0.63832,0.669496,0.689855,0.709911,0.725889,0.688038,0.026405,0.642919,0.670531,0.686641,0.711623,0.727908,0.000476
i3d,all,score_raw,low,0.516105,0.483895,400,362,0.686489,0.028915,0.636391,0.666801,0.689565,0.710222,0.727681,0.688702,0.026971,0.643537,0.67043,0.68867,0.712274,0.729097,0.002213
videomae,calibration,score_raw,low,0.49464,0.50536,205,157,0.496285,0.006947,0.488402,0.49156,0.493377,0.501168,0.510153,0.496123,0.006804,0.488688,0.491701,0.493434,0.500627,0.509916,-0.000162
videomae,all,score_raw,low,0.518805,0.481195,400,362,0.496161,0.006747,0.488531,0.491616,0.493804,0.500311,0.510119,0.496697,0.007127,0.487654,0.491752,0.49428,0.501402,0.510296,0.000536
xception_df40,calibration,score_raw,high,0.60348,0.60348,205,157,0.612673,0.244375,0.195203,0.436967,0.634687,0.815917,0.973468,0.695769,0.239616,0.260685,0.53591,0.771964,0.897792,0.975528,0.083095
xception_df40,all,score_raw,high,0.599448,0.599448,400,362,0.613715,0.251862,0.170703,0.420492,0.648397,0.828781,0.965147,0.698198,0.237324,0.247993,0.545182,0.755607,0.896517,0.989206,0.084483
