backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.587139,0.587139,604,478,0.528468,0.243329,0.159564,0.327018,0.506257,0.720342,0.936897,0.600522,0.237229,0.190611,0.431039,0.610116,0.794436,0.959638,0.072054
efficientnet_b4,all,score_raw,high,0.559492,0.559492,1197,1085,0.524319,0.242477,0.142831,0.330309,0.510276,0.715853,0.931739,0.573568,0.251899,0.129659,0.387715,0.575344,0.784558,0.96731,0.04925
effort_clip_l14,calibration,score_raw,high,0.510623,0.510623,604,478,0.502931,2.4e-05,0.5029,0.502926,0.502935,0.502942,0.502951,0.502933,1.4e-05,0.50291,0.502924,0.502936,0.502944,0.502952,3e-06
effort_clip_l14,all,score_raw,high,0.535207,0.535207,1197,1085,0.502932,2.2e-05,0.502899,0.502925,0.502936,0.502943,0.502954,0.502934,1.9e-05,0.502911,0.502927,0.502937,0.502945,0.502954,3e-06
f3net,calibration,score_raw,high,0.56344,0.56344,604,478,0.52284,0.268503,0.094077,0.312278,0.528061,0.742241,0.961161,0.582266,0.270556,0.103843,0.373256,0.599097,0.833794,0.976736,0.059425
f3net,all,score_raw,high,0.583663,0.583663,1197,1085,0.517037,0.276166,0.063009,0.288589,0.51873,0.743291,0.967913,0.597939,0.279176,0.103136,0.392159,0.607848,0.854546,0.986315,0.080902
i3d,calibration,score_raw,high,0.516799,0.516799,604,478,0.68684,0.032579,0.631178,0.662636,0.690592,0.714403,0.730244,0.689027,0.031556,0.636273,0.666734,0.693613,0.717527,0.729587,0.002187
i3d,all,score_raw,high,0.525263,0.525263,1197,1085,0.685957,0.034028,0.629977,0.65943,0.688436,0.717719,0.730416,0.689323,0.031977,0.635209,0.666917,0.692852,0.717648,0.73047,0.003366
videomae,calibration,score_raw,low,0.466835,0.533165,604,478,0.496614,0.00798,0.487703,0.491543,0.493338,0.501094,0.513341,0.495678,0.007635,0.486776,0.490915,0.49303,0.498955,0.512603,-0.000935
videomae,all,score_raw,low,0.495609,0.504391,1197,1085,0.496435,0.007875,0.4874,0.491482,0.493495,0.50016,0.513235,0.496382,0.007964,0.486516,0.491484,0.493365,0.500709,0.513395,-5.2e-05
xception_df40,calibration,score_raw,high,0.581884,0.581884,604,478,0.615367,0.285637,0.116854,0.373587,0.653979,0.895276,0.990048,0.691301,0.286805,0.104631,0.493836,0.783179,0.936067,0.995009,0.075935
xception_df40,all,score_raw,high,0.575064,0.575064,1197,1085,0.622036,0.286863,0.116057,0.382764,0.673015,0.890232,0.989673,0.689167,0.286508,0.109361,0.487809,0.773983,0.939061,0.996522,0.067131
