run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_01__effort_clip_l14,success,calibration,fake_only,1,effort_clip_l14,calibration_fake_only_01__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01_labels.csv,600.333,600.333,15.0,7391,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_fake_only_01__effort_clip_l14,2026-04-16T20:58:06Z,2026-04-16T21:08:38Z,
calibration_fake_only_02__effort_clip_l14,success,calibration,fake_only,2,effort_clip_l14,calibration_fake_only_02__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02_labels.csv,597.8,597.8,15.0,7443,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_fake_only_02__effort_clip_l14,2026-04-16T21:08:39Z,2026-04-16T21:19:09Z,
calibration_mixed_01__effort_clip_l14,success,calibration,mixed,1,effort_clip_l14,calibration_mixed_01__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01_labels.csv,600.4,600.4,15.0,7380,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_mixed_01__effort_clip_l14,2026-04-16T21:19:09Z,2026-04-16T21:29:41Z,
calibration_mixed_02__effort_clip_l14,success,calibration,mixed,2,effort_clip_l14,calibration_mixed_02__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02_labels.csv,600.533,600.533,15.0,7680,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_mixed_02__effort_clip_l14,2026-04-16T21:29:41Z,2026-04-16T21:40:13Z,
calibration_mixed_03__effort_clip_l14,success,calibration,mixed,3,effort_clip_l14,calibration_mixed_03__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03_labels.csv,600.433,600.433,15.0,7559,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_mixed_03__effort_clip_l14,2026-04-16T21:40:13Z,2026-04-16T21:50:47Z,
calibration_mixed_04__effort_clip_l14,success,calibration,mixed,4,effort_clip_l14,calibration_mixed_04__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04_labels.csv,601.1,601.1,15.0,7529,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_mixed_04__effort_clip_l14,2026-04-16T21:50:47Z,2026-04-16T22:01:19Z,
calibration_real_only_01__effort_clip_l14,success,calibration,real_only,1,effort_clip_l14,calibration_real_only_01__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7614,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_real_only_01__effort_clip_l14,2026-04-16T22:01:19Z,2026-04-16T22:11:53Z,
calibration_real_only_02__effort_clip_l14,success,calibration,real_only,2,effort_clip_l14,calibration_real_only_02__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02_labels.csv,595.633,595.633,15.0,7670,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_real_only_02__effort_clip_l14,2026-04-16T22:24:55Z,2026-04-16T22:35:24Z,
calibration_real_only_03__effort_clip_l14,success,calibration,real_only,3,effort_clip_l14,calibration_real_only_03__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03_labels.csv,600.267,600.267,15.0,7650,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\calibration_real_only_03__effort_clip_l14,2026-04-16T22:35:24Z,2026-04-16T22:45:56Z,
test_fake_only_01__effort_clip_l14,success,test,fake_only,1,effort_clip_l14,test_fake_only_01__effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01_labels.csv,600.0,600.0,15.0,7644,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_effort_live_2026-04-17\test_fake_only_01__effort_clip_l14,2026-04-16T22:45:56Z,2026-04-16T22:56:29Z,
