run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_01__i3d,success,calibration,fake_only,1,i3d,calibration_fake_only_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01_labels.csv,600.333,600.333,15.0,7831,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_fake_only_01__i3d,2026-04-17T07:02:20Z,2026-04-17T07:12:49Z,
calibration_fake_only_02__i3d,success,calibration,fake_only,2,i3d,calibration_fake_only_02__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02_labels.csv,597.8,597.8,15.0,7973,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_fake_only_02__i3d,2026-04-17T07:12:49Z,2026-04-17T07:23:30Z,
calibration_mixed_01__i3d,success,calibration,mixed,1,i3d,calibration_mixed_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01_labels.csv,600.4,600.4,15.0,7802,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_mixed_01__i3d,2026-04-17T07:23:30Z,2026-04-17T07:33:59Z,
calibration_mixed_02__i3d,success,calibration,mixed,2,i3d,calibration_mixed_02__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02_labels.csv,600.533,600.533,15.0,8045,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_mixed_02__i3d,2026-04-17T07:33:59Z,2026-04-17T07:44:28Z,
calibration_mixed_03__i3d,success,calibration,mixed,3,i3d,calibration_mixed_03__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03_labels.csv,600.433,600.433,15.0,7983,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_mixed_03__i3d,2026-04-17T07:44:28Z,2026-04-17T07:54:57Z,
calibration_mixed_04__i3d,success,calibration,mixed,4,i3d,calibration_mixed_04__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04_labels.csv,601.1,601.1,15.0,7869,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_mixed_04__i3d,2026-04-17T07:54:57Z,2026-04-17T08:05:26Z,
calibration_real_only_01__i3d,success,calibration,real_only,1,i3d,calibration_real_only_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,7973,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_real_only_01__i3d,2026-04-17T08:05:26Z,2026-04-17T08:15:55Z,
calibration_real_only_02__i3d,success,calibration,real_only,2,i3d,calibration_real_only_02__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02_labels.csv,595.633,595.633,15.0,7923,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_real_only_02__i3d,2026-04-17T08:15:55Z,2026-04-17T08:26:21Z,
calibration_real_only_03__i3d,success,calibration,real_only,3,i3d,calibration_real_only_03__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03_labels.csv,600.267,600.267,15.0,7952,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\calibration_real_only_03__i3d,2026-04-17T08:26:21Z,2026-04-17T08:36:52Z,
test_fake_only_01__i3d,success,test,fake_only,1,i3d,test_fake_only_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01_labels.csv,600.0,600.0,15.0,8040,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\test_fake_only_01__i3d,2026-04-17T08:36:52Z,2026-04-17T08:47:21Z,
test_mixed_01__i3d,success,test,mixed,1,i3d,test_mixed_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_01_labels.csv,600.0,600.0,15.0,7903,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\test_mixed_01__i3d,2026-04-17T08:47:21Z,2026-04-17T08:57:51Z,
test_mixed_02__i3d,success,test,mixed,2,i3d,test_mixed_02__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_02_labels.csv,600.0,600.0,15.0,7951,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\test_mixed_02__i3d,2026-04-17T08:57:51Z,2026-04-17T09:08:22Z,
test_mixed_03__i3d,success,test,mixed,3,i3d,test_mixed_03__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_mixed_03_labels.csv,600.0,600.0,15.0,7940,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\test_mixed_03__i3d,2026-04-17T09:08:22Z,2026-04-17T09:18:51Z,
test_real_only_01__i3d,success,test,real_only,1,i3d,test_real_only_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_real_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_real_only_01_labels.csv,600.0,600.0,15.0,7794,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\test_real_only_01__i3d,2026-04-17T09:18:51Z,2026-04-17T09:29:21Z,
validation_fake_only_01__i3d,success,validation,fake_only,1,i3d,validation_fake_only_01__i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\validation\validation_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\validation\validation_fake_only_01_labels.csv,600.0,600.0,15.0,7698,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_i3d_live_2026-04-17\validation_fake_only_01__i3d,2026-04-17T09:29:21Z,2026-04-17T09:39:51Z,
