run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_01__videomae,success,calibration,fake_only,1,videomae,calibration_fake_only_01__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01_labels.csv,600.333,600.333,15.0,5283,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_fake_only_01__videomae,2026-04-17T03:39:47Z,2026-04-17T03:50:27Z,
calibration_fake_only_02__videomae,success,calibration,fake_only,2,videomae,calibration_fake_only_02__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02_labels.csv,597.8,597.8,15.0,6926,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_fake_only_02__videomae,2026-04-17T03:50:28Z,2026-04-17T04:00:57Z,
calibration_mixed_01__videomae,success,calibration,mixed,1,videomae,calibration_mixed_01__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01_labels.csv,600.4,600.4,15.0,6709,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_mixed_01__videomae,2026-04-17T04:00:57Z,2026-04-17T04:11:28Z,
calibration_mixed_02__videomae,success,calibration,mixed,2,videomae,calibration_mixed_02__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02_labels.csv,600.533,600.533,15.0,7010,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_mixed_02__videomae,2026-04-17T04:11:28Z,2026-04-17T04:21:59Z,
calibration_mixed_03__videomae,success,calibration,mixed,3,videomae,calibration_mixed_03__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03_labels.csv,600.433,600.433,15.0,6841,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_mixed_03__videomae,2026-04-17T04:21:59Z,2026-04-17T04:32:30Z,
calibration_mixed_04__videomae,success,calibration,mixed,4,videomae,calibration_mixed_04__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_04_labels.csv,601.1,601.1,15.0,6790,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_mixed_04__videomae,2026-04-17T04:32:30Z,2026-04-17T04:43:02Z,
calibration_real_only_01__videomae,success,calibration,real_only,1,videomae,calibration_real_only_01__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_01_labels.csv,600.233,600.233,15.0,6943,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_real_only_01__videomae,2026-04-17T04:43:02Z,2026-04-17T04:53:33Z,
calibration_real_only_02__videomae,success,calibration,real_only,2,videomae,calibration_real_only_02__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_02_labels.csv,595.633,595.633,15.0,6934,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_real_only_02__videomae,2026-04-17T04:53:33Z,2026-04-17T05:04:01Z,
calibration_real_only_03__videomae,success,calibration,real_only,3,videomae,calibration_real_only_03__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_real_only_03_labels.csv,600.267,600.267,15.0,6804,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\calibration_real_only_03__videomae,2026-04-17T05:04:01Z,2026-04-17T05:14:45Z,
test_fake_only_01__videomae,success,test,fake_only,1,videomae,test_fake_only_01__videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\test\test_fake_only_01_labels.csv,600.0,600.0,15.0,6908,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_videomae_live_2026-04-17\test_fake_only_01__videomae,2026-04-17T05:14:45Z,2026-04-17T05:25:16Z,
