run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_01__efficientnet_b4,success,calibration,fake_only,1,efficientnet_b4,calibration_fake_only_01__efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01_labels.csv,600.333,600.333,15.0,6914,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_fake_only_01__efficientnet_b4,2026-04-16T14:27:50Z,2026-04-16T14:38:20Z,
calibration_fake_only_01__xception_df40,success,calibration,fake_only,1,xception_df40,calibration_fake_only_01__xception_df40,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01_labels.csv,600.333,600.333,15.0,7858,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_fake_only_01__xception_df40,2026-04-16T14:17:20Z,2026-04-16T14:27:50Z,
calibration_fake_only_02__efficientnet_b4,success,calibration,fake_only,2,efficientnet_b4,calibration_fake_only_02__efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02_labels.csv,597.8,597.8,15.0,6893,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_fake_only_02__efficientnet_b4,2026-04-16T14:48:47Z,2026-04-16T14:59:15Z,
calibration_fake_only_02__xception_df40,success,calibration,fake_only,2,xception_df40,calibration_fake_only_02__xception_df40,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_02_labels.csv,597.8,597.8,15.0,7963,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_fake_only_02__xception_df40,2026-04-16T14:38:20Z,2026-04-16T14:48:47Z,
calibration_mixed_01__efficientnet_b4,success,calibration,mixed,1,efficientnet_b4,calibration_mixed_01__efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01_labels.csv,600.4,600.4,15.0,6196,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_01__efficientnet_b4,2026-04-16T15:09:45Z,2026-04-16T15:20:15Z,
calibration_mixed_01__xception_df40,success,calibration,mixed,1,xception_df40,calibration_mixed_01__xception_df40,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_01_labels.csv,600.4,600.4,15.0,7619,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_01__xception_df40,2026-04-16T14:59:15Z,2026-04-16T15:09:45Z,
calibration_mixed_02__efficientnet_b4,success,calibration,mixed,2,efficientnet_b4,calibration_mixed_02__efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02_labels.csv,600.533,600.533,15.0,6546,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_02__efficientnet_b4,2026-04-16T15:30:45Z,2026-04-16T15:41:16Z,
calibration_mixed_02__xception_df40,success,calibration,mixed,2,xception_df40,calibration_mixed_02__xception_df40,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_02_labels.csv,600.533,600.533,15.0,7886,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_02__xception_df40,2026-04-16T15:20:15Z,2026-04-16T15:30:45Z,
calibration_mixed_03__efficientnet_b4,success,calibration,mixed,3,efficientnet_b4,calibration_mixed_03__efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03_labels.csv,600.433,600.433,15.0,6332,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_03__efficientnet_b4,2026-04-16T15:51:46Z,2026-04-16T16:02:16Z,
calibration_mixed_03__xception_df40,success,calibration,mixed,3,xception_df40,calibration_mixed_03__xception_df40,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03.mp4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_mixed_03_labels.csv,600.433,600.433,15.0,7772,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_ft_clean_xception_efficientnet_live_retry_2026-04-16\calibration_mixed_03__xception_df40,2026-04-16T15:41:16Z,2026-04-16T15:51:46Z,
