model,video_path,second,score_raw,score_smoothed,face_detected,num_faces,bbox_area,face_crop_size
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,0,0.9873716831207275,0.9873716831207275,1,1,50000,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,1,0.9920608997344971,0.9897162914276123,1,1,49590,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,2,0.9865199327468872,0.9886508385340372,1,1,49210,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,3,0.9720864295959473,0.9845097362995148,1,1,48994,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,4,0.9740535020828247,0.9824184894561767,1,1,48636,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,5,0.9909267425537109,0.9838365316390991,1,1,53116,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,6,0.9920593500137329,0.9850112199783325,1,1,51917,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,7,0.9858543276786804,0.985116608440876,1,1,50424,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,8,0.9933421015739441,0.986030552122328,1,1,49140,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,9,0.9892333745956421,0.9863508343696594,1,1,51548,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,10,0.9670746922492981,0.9845984578132629,1,1,48960,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,11,0.991074800491333,0.9851381530364355,1,1,52828,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,12,0.994628369808197,0.9858681697111863,1,1,52650,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,13,0.9926251769065857,0.9863508130822863,1,1,52440,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,14,0.9801760315895081,0.9859391609827678,1,1,54450,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,15,0.9936140179634094,0.9863553166389465,1,1,49728,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,16,0.8477107286453247,0.9767319718996684,1,2,59534,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,17,0.9943441152572632,0.9772535840670268,1,2,59850,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,18,0.9131523370742798,0.9733246445655823,1,1,52528,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,19,0.9833359718322754,0.9739434758822123,1,1,58956,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,20,0.8831921815872192,0.9667611718177795,1,2,56231,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,21,0.924141526222229,0.9622333168983459,1,1,51022,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,22,0.604063868522644,0.9367806196212769,1,1,57652,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,23,0.8340173363685608,0.9261589686075846,1,1,60270,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,24,0.7691118121147156,0.9114841977755229,1,1,59072,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,25,0.8164575099945068,0.9014430522918702,1,1,58140,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,26,0.33069971203804016,0.857418046394984,1,1,57246,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,27,0.9867622256278992,0.856893636782964,1,1,58581,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,28,0.7237964272499084,0.8389717201391856,1,1,73738,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,29,0.6852684020996094,0.8193112115065256,1,1,72225,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,30,0.8997957706451416,0.8130566616853078,1,1,74002,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,31,0.5181926488876343,0.7910887897014618,1,1,72152,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,32,0.439689576625824,0.7541118204593659,1,1,69300,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,33,0.7518420219421387,0.7433577994505565,1,1,71136,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,34,0.41653966903686523,0.7055713792641958,1,1,73872,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,35,0.5995745658874512,0.6866635382175446,1,1,78255,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,36,0.2623696029186249,0.6425454099973043,1,1,75306,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,37,0.6128906607627869,0.6431338628133138,1,1,72094,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,38,0.631145715713501,0.6296090881029764,1,1,67452,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,39,0.863267183303833,0.6358861128489176,1,1,75306,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,40,0.33168870210647583,0.6035681923230489,1,1,74844,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,41,0.7286258935928345,0.6300966044267019,1,1,72576,503x503
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,42,0.7704102993011475,0.6156731426715851,0,1,21632,720x720
efficientnet_b4,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,43,0.957779586315155,0.6312720199426015,0,1,19926,720x720
