model,video_path,second,score_raw,score_smoothed,face_detected,num_faces,bbox_area,face_crop_size
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,0,,,1,1,50000,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,1,,,1,1,49590,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,2,,,1,1,49210,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,3,,,1,1,48994,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,4,,,1,1,48636,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,5,,,1,1,53116,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,6,,,1,1,51917,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,7,,,1,1,50424,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,8,,,1,1,49140,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,9,,,1,1,51548,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,10,,,1,1,48960,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,11,,,1,1,52828,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,12,,,1,1,52650,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,13,,,1,1,52440,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,14,,,1,1,54450,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,15,0.6575063467025757,0.6575063467025757,1,1,49728,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,16,0.6811708211898804,0.669338583946228,1,2,59534,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,17,0.6611774563789368,0.6666182080904642,1,2,59850,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,18,0.6808148622512817,0.6701673716306686,1,1,52528,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,19,0.6790573000907898,0.6719453573226929,1,1,58956,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,20,0.6835908889770508,0.6738862792650858,1,2,56231,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,21,0.691722571849823,0.6764343210629055,1,1,51022,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,22,0.7014080882072449,0.6795560419559479,1,1,57652,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,23,0.7048658728599548,0.6823682453897264,1,1,60270,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,24,0.7080103158950806,0.6849324524402618,1,1,59072,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,25,0.7144273519515991,0.6876138069412925,1,1,58140,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,26,0.7098826169967651,0.6894695411125819,1,1,57246,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,27,0.717665433883667,0.6916384559411269,1,1,58581,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,28,0.7083155512809753,0.6928296770368304,1,1,73738,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,29,0.7192394733428955,0.6945903301239014,1,1,72225,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,30,0.6983284950256348,0.697311806678772,1,1,74002,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,31,0.7122307419776917,0.699382468064626,1,1,72152,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,32,0.7043899893760681,0.7022633035977681,1,1,69300,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,33,0.7072805762290955,0.7040276845296224,1,1,71136,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,34,0.6787504553794861,0.7040072282155355,1,1,73872,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,35,0.6822946071624756,0.7039208094278971,1,1,78255,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,36,0.6465590000152588,0.7009099046389262,1,1,75306,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,37,0.6422117352485657,0.6969634811083476,1,1,72094,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,38,0.6304883360862732,0.6920049786567688,1,1,67452,503x503
i3d,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,39,0.6309897303581238,0.686870272954305,1,1,75306,503x503
