model,video_path,second,score_raw,score_smoothed,face_detected,num_faces,bbox_area,face_crop_size
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,0,0.9985615611076355,0.9985615611076355,1,1,50000,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,1,0.9987346529960632,0.9986481070518494,1,1,49590,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,2,0.9959328770637512,0.99774303038915,1,1,49210,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,3,0.9905666708946228,0.9959489405155182,1,1,48994,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,4,0.9945144653320312,0.9956620454788208,1,1,48636,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,5,0.998939573764801,0.9962083001931509,1,1,53116,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,6,0.99887615442276,0.9965894222259521,1,1,51917,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,7,0.9971906542778015,0.9966645762324333,1,1,50424,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,8,0.9958166480064392,0.9965703619851006,1,1,49140,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,9,0.9957271814346313,0.9964860439300537,1,1,51548,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,10,0.9984114170074463,0.9966610778461803,1,1,48960,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,11,0.9992725253105164,0.9968786984682083,1,1,52828,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,12,0.9985445737838745,0.9970068427232596,1,1,52650,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,13,0.9976805448532104,0.9970549643039703,1,1,52440,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,14,0.9975897073745728,0.9970906138420105,1,1,54450,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,15,0.9970176219940186,0.9969876845677693,1,1,49728,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,16,0.9991105198860168,0.9970127423604329,1,2,59534,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,17,0.9969749450683594,0.9970822135607401,1,2,59850,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,18,0.9979616403579712,0.9975752115249634,1,1,52528,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,19,0.9987391829490662,0.997856859366099,1,1,58956,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,20,0.9991656541824341,0.9978719313939413,1,2,56231,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,21,0.983991265296936,0.9968796054522197,1,1,51022,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,22,0.9539350271224976,0.9939958969751994,1,1,57652,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,23,0.9982175230979919,0.9941559553146362,1,1,60270,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,24,0.9975690245628357,0.9942787448565166,1,1,59072,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,25,0.9918529391288757,0.9938415129979451,1,1,58140,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,26,0.9924710988998413,0.9933880845705668,1,1,57246,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,27,0.9991827607154846,0.9934306303660075,1,1,58581,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,28,0.8954456448554993,0.9866149703661601,1,1,73738,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,29,0.9457306265830994,0.9831576983133952,1,1,72225,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,30,0.9878580570220947,0.9825470606486003,1,1,74002,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,31,0.9831100702285767,0.9814803640047709,1,1,72152,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,32,0.9919358491897583,0.9811444242795309,1,1,69300,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,33,0.9913163185119629,0.9807014028231303,1,1,71136,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,34,0.9830489158630371,0.979655385017395,1,1,73872,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,35,0.9181510210037231,0.9742544094721476,1,1,78255,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,36,0.9827091693878174,0.9741689364115397,1,1,75306,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,37,0.5865750312805176,0.9496782700220744,1,1,72094,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,38,0.9425240159034729,0.9459653695424398,1,1,67452,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,39,0.9855125546455383,0.9451616048812866,1,1,75306,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,40,0.9831315279006958,0.9445801774660746,1,1,74844,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,41,0.998547375202179,0.9449852625528972,1,1,72576,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,42,0.7906215786933899,0.9310811837514241,0,1,21632,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,43,0.6413081288337708,0.9141386826833089,0,1,19926,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,44,0.765475869178772,0.9021216988563537,0,1,20862,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,45,0.4461771845817566,0.8660096406936646,0,1,20740,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,46,0.9004477262496948,0.8604988177617391,0,1,21336,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,47,0.8773870468139648,0.8528622309366862,0,1,19080,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,48,0.5259304046630859,0.8218365033467611,0,1,19360,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,49,0.7143691778182983,0.8039245208104452,0,1,20400,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,50,0.797233521938324,0.7958633542060852,0,1,19926,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,51,0.8421130180358887,0.78649027744929,0,1,18792,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,52,0.8340311050415039,0.8029873490333557,0,1,23270,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,53,0.5518796443939209,0.7769443909327189,0,1,21590,720x720
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,54,0.9821809530258179,0.7767222841580709,1,1,44322,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,55,0.9930518865585327,0.7773836414019267,1,1,49128,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,56,0.9779276847839355,0.7760089953740438,1,1,46814,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,57,0.9872598648071289,0.789118214448293,1,1,47060,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,58,0.9868367910385132,0.8121534585952759,1,1,46552,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,59,0.9504759311676025,0.8244867960611979,1,1,47872,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,60,0.9797788858413696,0.8600602428118388,1,1,51336,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,61,0.9658872485160828,0.864422877629598,1,1,47730,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,62,0.9746705293655396,0.8709084431330363,1,1,50690,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,63,0.6607298851013184,0.8798950751622517,1,1,50274,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,64,0.9897566437721252,0.8982542395591736,1,1,50160,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,65,0.8994187712669373,0.9050665895144144,1,1,52800,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,66,0.9826864004135132,0.9144381483395895,1,1,44800,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,67,0.8966235518455505,0.9186109781265259,1,1,48470,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,68,0.8177652359008789,0.9363366842269898,1,1,41520,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,69,0.9730592966079712,0.9357285737991333,1,1,48384,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,70,0.9965226650238037,0.9359599590301514,1,1,37800,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,71,0.9942126870155334,0.9370456258455913,1,1,39098,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,72,0.9980997443199158,0.937768284479777,1,1,39072,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,73,0.9952574372291565,0.9383296608924866,1,1,41595,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,74,0.9912979602813721,0.9410511295000712,1,1,37791,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,75,0.9974793791770935,0.9422311623891194,1,1,37668,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,76,0.9967697858810425,0.9442899982134502,1,1,38106,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,77,0.9977012276649475,0.9458253781000773,1,1,39330,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,78,0.9957744479179382,0.9681616822878519,1,1,39790,503x503
f3net,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,79,0.9963822364807129,0.9686033884684245,1,1,40368,503x503
