run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__efficientnet_b4,efficientnet_b4,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_01__efficientnet_b4,efficientnet_b4,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_02__efficientnet_b4,efficientnet_b4,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_03__efficientnet_b4,efficientnet_b4,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_04__efficientnet_b4,efficientnet_b4,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_real_only_01__efficientnet_b4,efficientnet_b4,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_fake_only_01__efficientnet_b4,efficientnet_b4,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.999,598.999,-1.001,598,1,1
test_mixed_01__efficientnet_b4,efficientnet_b4,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_02__efficientnet_b4,efficientnet_b4,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_03__efficientnet_b4,efficientnet_b4,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_real_only_01__efficientnet_b4,efficientnet_b4,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_fake_only_01__efficientnet_b4,efficientnet_b4,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_01__efficientnet_b4,efficientnet_b4,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_02__efficientnet_b4,efficientnet_b4,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_03__efficientnet_b4,efficientnet_b4,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_real_only_01__efficientnet_b4,efficientnet_b4,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_fake_only_01__effort_clip_l14,effort_clip_l14,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_01__effort_clip_l14,effort_clip_l14,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_02__effort_clip_l14,effort_clip_l14,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_03__effort_clip_l14,effort_clip_l14,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_04__effort_clip_l14,effort_clip_l14,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_real_only_01__effort_clip_l14,effort_clip_l14,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_fake_only_01__effort_clip_l14,effort_clip_l14,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.999,598.999,-1.001,598,1,1
test_mixed_01__effort_clip_l14,effort_clip_l14,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_02__effort_clip_l14,effort_clip_l14,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_03__effort_clip_l14,effort_clip_l14,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_real_only_01__effort_clip_l14,effort_clip_l14,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_fake_only_01__effort_clip_l14,effort_clip_l14,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_01__effort_clip_l14,effort_clip_l14,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_02__effort_clip_l14,effort_clip_l14,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
