backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.65338,0.65338,1799,1801,0.235372,0.242504,0.013432,0.052107,0.134964,0.351733,0.761169,0.379565,0.311347,0.029649,0.121927,0.282439,0.581772,0.988444,0.144193
efficientnet_b4,all,score_raw,high,0.650904,0.650904,4800,4799,0.258626,0.250337,0.014518,0.05938,0.159935,0.401632,0.794731,0.413327,0.322096,0.033561,0.133786,0.321017,0.668389,0.992994,0.154701
effort_clip_l14,calibration,score_raw,high,0.568697,0.568697,1799,1801,0.470786,0.404983,0.001605,0.031739,0.401239,0.931958,0.999401,0.518738,0.434342,0.004557,0.049484,0.494846,0.9977,0.999977,0.047952
effort_clip_l14,all,score_raw,high,0.608071,0.608071,4800,4799,0.458828,0.410427,0.001533,0.022509,0.376804,0.929585,0.999089,0.54972,0.43546,0.004901,0.058029,0.656408,0.999086,0.999985,0.090892
f3net,calibration,score_raw,high,0.718029,0.718029,1799,1801,0.372586,0.273295,0.017565,0.127815,0.330947,0.570973,0.893042,0.599135,0.282059,0.093844,0.4083,0.58949,0.844018,0.998277,0.22655
f3net,all,score_raw,high,0.704061,0.704061,4800,4799,0.387267,0.279158,0.016034,0.130742,0.361951,0.59455,0.891227,0.605815,0.295915,0.085639,0.393546,0.595484,0.91638,0.998736,0.218547
i3d,calibration,score_raw,high,0.5127,0.5127,1750,1760,0.595554,0.063015,0.509357,0.543056,0.584229,0.638262,0.715805,0.597958,0.063171,0.511975,0.545221,0.588936,0.639889,0.726561,0.002404
i3d,all,score_raw,high,0.557037,0.557037,4655,4704,0.595408,0.062332,0.5097,0.544523,0.584089,0.638274,0.715428,0.606838,0.061518,0.515283,0.559383,0.600513,0.650281,0.722465,0.01143
videomae,calibration,score_raw,low,0.496571,0.503429,1750,1760,0.449109,0.39964,0.005935,0.040703,0.342073,0.917019,0.996844,0.448113,0.408194,0.003761,0.033911,0.326777,0.929916,0.998298,-0.000996
videomae,all,score_raw,low,0.507615,0.492385,4655,4704,0.454074,0.396599,0.0065,0.052638,0.340922,0.91778,0.997574,0.477087,0.414857,0.003849,0.036552,0.409311,0.956354,0.998952,0.023014
xception_df40,calibration,score_raw,high,0.565815,0.565815,1799,1801,0.456495,0.396551,0.0034,0.05492,0.339312,0.920646,0.999677,0.528891,0.377734,0.022344,0.136422,0.500627,0.94963,0.999852,0.072396
xception_df40,all,score_raw,high,0.532561,0.532561,4800,4799,0.485046,0.400004,0.003923,0.066118,0.417069,0.95021,0.999699,0.518504,0.381117,0.013341,0.121831,0.500627,0.94669,0.999752,0.033458
