run_id,model,split,kind,ordinal,status,result_dir,duration_s
calibration_fake_only_01__xception_df40,xception_df40,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__xception_df40,600
calibration_mixed_01__xception_df40,xception_df40,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__xception_df40,600
calibration_mixed_02__xception_df40,xception_df40,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__xception_df40,600
calibration_mixed_03__xception_df40,xception_df40,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__xception_df40,600
calibration_mixed_04__xception_df40,xception_df40,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__xception_df40,600
calibration_real_only_01__xception_df40,xception_df40,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__xception_df40,600
validation_fake_only_01__xception_df40,xception_df40,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__xception_df40,600
validation_mixed_01__xception_df40,xception_df40,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__xception_df40,600
validation_mixed_02__xception_df40,xception_df40,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__xception_df40,600
validation_mixed_03__xception_df40,xception_df40,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__xception_df40,600
validation_real_only_01__xception_df40,xception_df40,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__xception_df40,600
test_fake_only_01__xception_df40,xception_df40,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__xception_df40,600
test_mixed_01__xception_df40,xception_df40,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__xception_df40,600
test_mixed_02__xception_df40,xception_df40,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__xception_df40,600
test_mixed_03__xception_df40,xception_df40,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__xception_df40,600
test_real_only_01__xception_df40,xception_df40,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__xception_df40,600
calibration_fake_only_01__effort_clip_l14,effort_clip_l14,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__effort_clip_l14,600
calibration_mixed_01__effort_clip_l14,effort_clip_l14,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__effort_clip_l14,600
calibration_mixed_02__effort_clip_l14,effort_clip_l14,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__effort_clip_l14,600
calibration_mixed_03__effort_clip_l14,effort_clip_l14,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__effort_clip_l14,600
calibration_mixed_04__effort_clip_l14,effort_clip_l14,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__effort_clip_l14,600
calibration_real_only_01__effort_clip_l14,effort_clip_l14,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__effort_clip_l14,600
validation_fake_only_01__effort_clip_l14,effort_clip_l14,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__effort_clip_l14,600
validation_mixed_01__effort_clip_l14,effort_clip_l14,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__effort_clip_l14,600
validation_mixed_02__effort_clip_l14,effort_clip_l14,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__effort_clip_l14,600
validation_mixed_03__effort_clip_l14,effort_clip_l14,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__effort_clip_l14,600
validation_real_only_01__effort_clip_l14,effort_clip_l14,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__effort_clip_l14,600
test_fake_only_01__effort_clip_l14,effort_clip_l14,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__effort_clip_l14,600
test_mixed_01__effort_clip_l14,effort_clip_l14,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__effort_clip_l14,600
test_mixed_02__effort_clip_l14,effort_clip_l14,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__effort_clip_l14,600
test_mixed_03__effort_clip_l14,effort_clip_l14,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__effort_clip_l14,600
test_real_only_01__effort_clip_l14,effort_clip_l14,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__effort_clip_l14,600
calibration_fake_only_01__efficientnet_b4,efficientnet_b4,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__efficientnet_b4,600
calibration_mixed_01__efficientnet_b4,efficientnet_b4,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__efficientnet_b4,600
calibration_mixed_02__efficientnet_b4,efficientnet_b4,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__efficientnet_b4,600
calibration_mixed_03__efficientnet_b4,efficientnet_b4,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__efficientnet_b4,600
calibration_mixed_04__efficientnet_b4,efficientnet_b4,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__efficientnet_b4,600
calibration_real_only_01__efficientnet_b4,efficientnet_b4,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__efficientnet_b4,600
validation_fake_only_01__efficientnet_b4,efficientnet_b4,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__efficientnet_b4,600
validation_mixed_01__efficientnet_b4,efficientnet_b4,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__efficientnet_b4,600
validation_mixed_02__efficientnet_b4,efficientnet_b4,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__efficientnet_b4,600
validation_mixed_03__efficientnet_b4,efficientnet_b4,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__efficientnet_b4,600
validation_real_only_01__efficientnet_b4,efficientnet_b4,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__efficientnet_b4,600
test_fake_only_01__efficientnet_b4,efficientnet_b4,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__efficientnet_b4,600
test_mixed_01__efficientnet_b4,efficientnet_b4,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__efficientnet_b4,600
test_mixed_02__efficientnet_b4,efficientnet_b4,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__efficientnet_b4,600
test_mixed_03__efficientnet_b4,efficientnet_b4,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__efficientnet_b4,600
test_real_only_01__efficientnet_b4,efficientnet_b4,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__efficientnet_b4,600
calibration_fake_only_01__f3net,f3net,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__f3net,600
calibration_mixed_01__f3net,f3net,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__f3net,600
calibration_mixed_02__f3net,f3net,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__f3net,600
calibration_mixed_03__f3net,f3net,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__f3net,600
calibration_mixed_04__f3net,f3net,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__f3net,600
calibration_real_only_01__f3net,f3net,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__f3net,600
validation_fake_only_01__f3net,f3net,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__f3net,600
validation_mixed_01__f3net,f3net,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__f3net,600
validation_mixed_02__f3net,f3net,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__f3net,600
validation_mixed_03__f3net,f3net,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__f3net,600
validation_real_only_01__f3net,f3net,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__f3net,600
test_fake_only_01__f3net,f3net,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__f3net,600
test_mixed_01__f3net,f3net,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__f3net,600
test_mixed_02__f3net,f3net,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__f3net,600
test_mixed_03__f3net,f3net,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__f3net,600
test_real_only_01__f3net,f3net,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__f3net,600
calibration_fake_only_01__i3d,i3d,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__i3d,600
calibration_mixed_01__i3d,i3d,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__i3d,600
calibration_mixed_02__i3d,i3d,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__i3d,600
calibration_mixed_03__i3d,i3d,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__i3d,600
calibration_mixed_04__i3d,i3d,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__i3d,600
calibration_real_only_01__i3d,i3d,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__i3d,600
validation_fake_only_01__i3d,i3d,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__i3d,600
validation_mixed_01__i3d,i3d,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__i3d,600
validation_mixed_02__i3d,i3d,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__i3d,600
validation_mixed_03__i3d,i3d,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__i3d,600
validation_real_only_01__i3d,i3d,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__i3d,600
test_fake_only_01__i3d,i3d,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__i3d,600
test_mixed_01__i3d,i3d,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__i3d,600
test_mixed_02__i3d,i3d,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__i3d,600
test_mixed_03__i3d,i3d,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__i3d,600
test_real_only_01__i3d,i3d,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__i3d,600
calibration_fake_only_01__videomae,videomae,calibration,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_fake_only_01__videomae,600
calibration_mixed_01__videomae,videomae,calibration,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_01__videomae,600
calibration_mixed_02__videomae,videomae,calibration,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_02__videomae,600
calibration_mixed_03__videomae,videomae,calibration,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_03__videomae,600
calibration_mixed_04__videomae,videomae,calibration,mixed,4,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_mixed_04__videomae,600
calibration_real_only_01__videomae,videomae,calibration,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\calibration_real_only_01__videomae,600
validation_fake_only_01__videomae,videomae,validation,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_fake_only_01__videomae,600
validation_mixed_01__videomae,videomae,validation,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_01__videomae,600
validation_mixed_02__videomae,videomae,validation,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_02__videomae,600
validation_mixed_03__videomae,videomae,validation,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_mixed_03__videomae,600
validation_real_only_01__videomae,videomae,validation,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\validation_real_only_01__videomae,600
test_fake_only_01__videomae,videomae,test,fake_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_fake_only_01__videomae,600
test_mixed_01__videomae,videomae,test,mixed,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_01__videomae,600
test_mixed_02__videomae,videomae,test,mixed,2,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_02__videomae,600
test_mixed_03__videomae,videomae,test,mixed,3,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_mixed_03__videomae,600
test_real_only_01__videomae,videomae,test,real_only,1,success,C:\Users\weissach\Desktop\Y3\Y3-project\results_offline_full_2026-04-10\runs\test_real_only_01__videomae,600
