run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__f3net,f3net,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.61,610.953,10.953,120,0,0
calibration_fake_only_02__f3net,f3net,calibration,fake_only,2,calibration_fake_only_02.mp4,598,score_raw,0.578,607.406,9.406,120,0,0
calibration_mixed_01__f3net,f3net,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.609,610.812,10.812,120,0,0
calibration_mixed_02__f3net,f3net,calibration,mixed,2,calibration_mixed_02.mp4,601,score_raw,0.609,610.766,9.766,121,0,0
calibration_mixed_03__f3net,f3net,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.563,610.61,10.61,120,0,0
calibration_mixed_04__f3net,f3net,calibration,mixed,4,calibration_mixed_04.mp4,601,score_raw,0.578,611.781,10.781,121,0,0
calibration_real_only_01__f3net,f3net,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.469,610.344,10.344,120,0,0
calibration_real_only_02__f3net,f3net,calibration,real_only,2,calibration_real_only_02.mp4,596,score_raw,0.563,605.61,9.61,120,0,0
calibration_real_only_03__f3net,f3net,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.625,610.625,10.625,120,0,0
test_fake_only_01__f3net,f3net,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.547,610.297,10.297,120,0,0
test_mixed_01__f3net,f3net,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.594,610.688,10.688,120,0,0
test_mixed_02__f3net,f3net,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.562,610.703,10.703,120,0,0
test_mixed_03__f3net,f3net,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.531,610.656,10.656,120,0,0
test_real_only_01__f3net,f3net,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.562,610.828,10.828,120,0,0
validation_fake_only_01__f3net,f3net,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.579,610.079,10.079,120,0,0
validation_mixed_01__f3net,f3net,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.547,610.672,10.672,120,0,0
validation_mixed_02__f3net,f3net,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.547,610.875,10.875,120,0,0
validation_mixed_03__f3net,f3net,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.64,610.547,10.547,120,0,0
validation_real_only_01__f3net,f3net,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.547,610.532,10.532,120,0,0
