run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__i3d,i3d,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.359,611.125,11.125,40,0,0
calibration_fake_only_02__i3d,i3d,calibration,fake_only,2,calibration_fake_only_02.mp4,598,score_raw,0.407,607.391,9.391,40,0,0
calibration_mixed_01__i3d,i3d,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.375,611.344,11.344,40,0,0
calibration_mixed_02__i3d,i3d,calibration,mixed,2,calibration_mixed_02.mp4,601,score_raw,0.359,611.422,10.422,41,0,0
calibration_mixed_03__i3d,i3d,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.453,611.563,11.563,40,0,0
calibration_mixed_04__i3d,i3d,calibration,mixed,4,calibration_mixed_04.mp4,601,score_raw,0.421,612.625,11.625,41,0,0
calibration_real_only_01__i3d,i3d,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.453,611.016,11.016,40,0,0
calibration_real_only_02__i3d,i3d,calibration,real_only,2,calibration_real_only_02.mp4,596,score_raw,0.39,605.375,9.375,40,0,0
calibration_real_only_03__i3d,i3d,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.406,609.89,9.89,40,0,0
test_fake_only_01__i3d,i3d,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.422,610.766,10.766,40,0,0
test_mixed_01__i3d,i3d,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.406,610.5,10.5,40,0,0
test_mixed_02__i3d,i3d,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.437,610.937,10.937,40,0,0
test_mixed_03__i3d,i3d,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.422,611.422,11.422,40,0,0
test_real_only_01__i3d,i3d,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.406,610.562,10.562,40,0,0
validation_fake_only_01__i3d,i3d,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.391,610.735,10.735,40,0,0
validation_mixed_01__i3d,i3d,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.406,610.781,10.781,40,0,0
validation_mixed_02__i3d,i3d,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.406,610.812,10.812,40,0,0
validation_mixed_03__i3d,i3d,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.5,611.828,11.828,40,0,0
validation_real_only_01__i3d,i3d,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.547,610.14,10.14,40,0,0
