run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__videomae,videomae,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.735,608.532,8.532,40,0,0
calibration_fake_only_02__videomae,videomae,calibration,fake_only,2,calibration_fake_only_02.mp4,598,score_raw,0.375,606.938,8.938,40,0,0
calibration_mixed_01__videomae,videomae,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.36,611.532,11.532,40,0,0
calibration_mixed_02__videomae,videomae,calibration,mixed,2,calibration_mixed_02.mp4,601,score_raw,0.421,609.953,8.953,41,0,0
calibration_mixed_03__videomae,videomae,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.422,611.141,11.141,40,0,0
calibration_mixed_04__videomae,videomae,calibration,mixed,4,calibration_mixed_04.mp4,601,score_raw,0.406,611.594,10.594,41,0,0
calibration_real_only_01__videomae,videomae,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.406,610.828,10.828,40,0,0
calibration_real_only_02__videomae,videomae,calibration,real_only,2,calibration_real_only_02.mp4,596,score_raw,0.437,605.359,9.359,40,0,0
calibration_real_only_03__videomae,videomae,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.422,610.454,10.454,40,0,0
test_fake_only_01__videomae,videomae,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.406,609.672,9.672,40,0,0
test_mixed_01__videomae,videomae,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.437,611.109,11.109,40,0,0
test_mixed_02__videomae,videomae,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.406,611.531,11.531,40,0,0
test_mixed_03__videomae,videomae,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.39,610.062,10.062,40,0,0
test_real_only_01__videomae,videomae,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.406,611.5,11.5,40,0,0
validation_fake_only_01__videomae,videomae,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.532,611.094,11.094,40,0,0
validation_mixed_01__videomae,videomae,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.407,610.766,10.766,40,0,0
validation_mixed_02__videomae,videomae,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.39,609.937,9.937,40,0,0
validation_mixed_03__videomae,videomae,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.437,611.062,11.062,40,0,0
validation_real_only_01__videomae,videomae,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.422,610.766,10.766,40,0,0
