run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__efficientnet_b4,efficientnet_b4,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.579,610.547,10.547,40,0,0
calibration_fake_only_02__efficientnet_b4,efficientnet_b4,calibration,fake_only,2,calibration_fake_only_02.mp4,598,score_raw,0.594,607.531,9.531,40,0,0
calibration_mixed_01__efficientnet_b4,efficientnet_b4,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.672,610.734,10.734,40,0,0
calibration_mixed_02__efficientnet_b4,efficientnet_b4,calibration,mixed,2,calibration_mixed_02.mp4,601,score_raw,0.625,610.844,9.844,41,0,0
calibration_mixed_03__efficientnet_b4,efficientnet_b4,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.625,610.75,10.75,40,0,0
calibration_mixed_04__efficientnet_b4,efficientnet_b4,calibration,mixed,4,calibration_mixed_04.mp4,601,score_raw,0.656,611.469,10.469,41,0,0
calibration_real_only_01__efficientnet_b4,efficientnet_b4,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.64,610.797,10.797,40,0,0
calibration_real_only_02__efficientnet_b4,efficientnet_b4,calibration,real_only,2,calibration_real_only_02.mp4,596,score_raw,0.657,605.922,9.922,40,0,0
calibration_real_only_03__efficientnet_b4,efficientnet_b4,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.688,610.953,10.953,40,0,0
test_fake_only_01__efficientnet_b4,efficientnet_b4,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.656,611.594,11.594,40,0,0
test_mixed_01__efficientnet_b4,efficientnet_b4,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.687,611.5,11.5,40,0,0
test_mixed_02__efficientnet_b4,efficientnet_b4,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.625,611.485,11.485,40,0,0
test_mixed_03__efficientnet_b4,efficientnet_b4,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.64,611.078,11.078,40,0,0
test_real_only_01__efficientnet_b4,efficientnet_b4,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.609,610.437,10.437,40,0,0
validation_fake_only_01__efficientnet_b4,efficientnet_b4,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.531,610.688,10.688,40,0,0
