backend,window_s,calibration_runs,validation_runs,test_runs,skipped_runs,skipped_run_ids,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,validation_flicker,test_auc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_ttfd_s,test_flicker
efficientnet_b4,1,6,5,5,0,,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5157835836152598,0.5021731862253427,1.0,0.668595593144892,2.0427236315086783,0.0,0.020060180541624874,0.5081735882499085,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
efficientnet_b4,5,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5211071486349309,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.495046424630143,0.5,1.0,0.6666666666666666,2.1157684630738522,0.0,0.04008016032064128
efficientnet_b4,10,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5288458290592517,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.4843801597428612,0.4991663887962654,1.0,0.6659252669039146,2.1157684630738522,0.0,0.04001333777925975
efficientnet_b4,15,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5378574006353789,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.4742587859240326,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
efficientnet_b4,30,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5452085248151552,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.45750627446954234,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
efficientnet_b4,60,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5705441254117785,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.4732045594849046,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,1,6,5,5,0,,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5156752447983188,0.5053835800807537,1.0,0.6714349575324094,2.082777036048064,0.0,0.04037685060565276,0.47270366859245216,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,5,6,5,5,0,,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5268131862175625,0.5047043010752689,1.0,0.6708351942831621,2.082777036048064,0.0,0.04032258064516129,0.474873899495598,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,10,6,5,5,0,,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5414272968473858,0.5038577658503858,1.0,0.6700869953156369,2.082777036048064,0.0,0.040254948004025494,0.4829441539988382,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,15,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5574449700489195,0.5030140656396517,1.0,0.6693404634581105,2.082777036048064,0.0,0.04018754186202277,0.49538420375903724,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,30,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7504166666666667,0.44063767224475064,0.49610037300779924,0.974034620505992,0.6573803639631544,2.12283044058745,0.20238095238095238,0.2238046795523906,0.4900575157856187,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,60,6,5,5,0,,high,strict_0.10,0.34,0.34,0.29000000000000004,0.05,1,0.1,1.0,0.7532413216227519,0.5684521216926608,0.5005028494803889,0.9940079893475366,0.6657748049052398,2.0427236315086783,0.1125952380952381,0.02011397921555481,0.5308936791302721,0.5010169491525424,0.9873079492317969,0.6647177872723183,2.1157684630738522,0.007060975609756106,0.12203389830508474
f3net,1,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5211434174607066,0.5004166666666666,1.0,0.6670369341849486,1.7514595496246872,0.0,0.0,0.5827849978066579,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
f3net,5,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5364552336494678,0.5004166666666666,1.0,0.6670369341849486,1.7514595496246872,0.0,0.0,0.5817472158777524,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
f3net,10,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.2,0.2,0.1,0.1,1,0.1,1.0,0.7505730360491769,0.5512642717112998,0.499370012599748,0.9900083263946711,0.6638749302065885,1.7514595496246872,0.16765217391304324,0.07559848803023939,0.5819916612999785,0.5011788480970023,0.9939879759519038,0.6663681146439766,2.1157684630738522,0.07869512195121921,0.12125294712024251
f3net,15,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.566026781963043,0.5004166666666666,1.0,0.6670369341849486,1.7514595496246872,0.0,0.0,0.5821525508324256,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
f3net,30,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5641996973609009,0.5004166666666666,1.0,0.6670369341849486,1.7514595496246872,0.0,0.0,0.5754947464234301,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
f3net,60,6,4,5,1,validation_mixed_01__f3net,high,strict_0.10,0.45,0.45,0.45,0.0,1,0.1,1.0,0.7507294706127553,0.553130245229337,0.5176211453744494,0.9783513738551207,0.6770383174877557,1.8015012510425354,0.2235652173913046,0.2114537444933921,0.5938014863170564,0.5003469812630118,0.9632598530394122,0.6585978533911853,2.1157684630738522,0.3668902439024388,0.08327550312283137
i3d,1,6,5,5,0,,low,strict_0.10,0.32,0.32,0.22,0.1,1,0.1,1.0,0.7519832985386221,0.5101704625252668,0.49949511948838776,0.9880159786950732,0.6635367762128326,2.0427236315086783,0.21428571428571427,0.04039044092898014,0.49923266359732105,0.4986657771847899,0.9986639946559787,0.6651835372636262,2.0758483033932134,0.024390243902439025,0.0200133422281521
i3d,5,6,5,5,0,,low,strict_0.10,0.33,0.33,0.23,0.1,1,0.1,1.0,0.7524545644453728,0.5144742479542186,0.4993256911665543,0.9860186418109188,0.6629364368845121,2.0427236315086783,0.25,0.04045853000674309,0.490255738800733,0.4976541554959786,0.9919839679358717,0.662798482481589,2.0758483033932134,0.14634146341463414,0.040214477211796246
i3d,10,6,5,5,0,,low,strict_0.10,0.32,0.32,0.22,0.1,1,0.1,1.0,0.7526117843710823,0.5157618057987658,0.49932478055367996,0.9846870838881492,0.6626344086021505,2.0427236315086783,0.27380952380952384,0.04051316677920324,0.4821605953090479,0.49698795180722893,0.9919839679358717,0.6622073578595319,2.0758483033932134,0.14634146341463414,0.020080321285140562
i3d,15,6,5,5,0,,low,strict_0.10,0.3,0.3,0.25,0.05,1,0.1,1.0,0.7522974101921471,0.5219569279234274,0.4993252361673414,0.9853528628495339,0.6627854903716973,2.0427236315086783,0.2619047619047619,0.04048582995951417,0.48296770964861635,0.4971562395449983,0.9926519706078825,0.6625055728934462,2.0758483033932134,0.13414634146341464,0.020073603211776515
i3d,30,6,5,5,0,,low,strict_0.10,0.3,0.3,0.25,0.05,1,0.1,1.0,0.7522974101921471,0.5317685009217794,0.4988179669030733,0.9833555259653795,0.6618866233475241,2.0427236315086783,0.2976190476190476,0.040526849037487336,0.4696663231097369,0.4971562395449983,0.9926519706078825,0.6625055728934462,2.0758483033932134,0.13414634146341464,0.020073603211776515
i3d,60,6,5,5,0,,low,strict_0.10,0.3,0.3,0.25,0.05,1,0.1,1.0,0.7522974101921471,0.5203107027745827,0.4988179669030733,0.9833555259653795,0.6618866233475241,2.0427236315086783,0.2976190476190476,0.040526849037487336,0.4822788180041609,0.4971562395449983,0.9926519706078825,0.6625055728934462,2.0758483033932134,0.13414634146341464,0.020073603211776515
videomae,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5629467785720508,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.4885317319047054,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,5,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.5561205442143008,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.4909415193216328,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,10,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5288542735187085,0.49899328859060404,0.9900133155792277,0.6635430611334225,2.0427236315086783,0.12835714285714264,0.08053691275167786,0.5054664663103097,0.49899598393574296,0.9959919839679359,0.6648829431438127,2.0758483033932134,0.07735365853658559,0.040160642570281124
videomae,15,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5023604486407975,0.49882903981264637,0.992676431424767,0.663994655978624,2.0427236315086783,0.12835714285714264,0.04014720642355303,0.5203447480456589,0.49816237888406284,0.9959919839679359,0.6641425389755011,2.0758483033932134,0.07735365853658559,0.04009355162044771
videomae,30,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.5062791222739952,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.5386123766717289,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
