window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
1,xception_df40,1,True,low,strict_0.50,0.77,0.77,0.72,3,0.5,0.101667,0.169568,0.640854,0.085447,14.621798,0.133638,0.558882,0.091151,15.387378
1,effort_clip_l14,2,False,low,strict_0.50,0.51,0.51,0.41000000000000003,3,0.5,0.1,0.275726,0.761015,0.166222,12.80275,0.165979,0.798403,0.187625,14.647366
1,videomae,3,False,low,strict_0.50,0.91,0.91,0.81,3,0.4,0.08,0.266734,0.841121,0.138184,12.953619,0.381844,0.838323,0.154358,11.567805
1,efficientnet_b4,4,False,low,strict_0.50,0.86,0.86,0.76,3,0.5,0.183333,0.319652,0.921228,0.158879,12.2595,0.413363,0.958084,0.188955,10.637866
1,f3net,5,False,high,strict_0.50,0.71,0.71,0.61,3,0.5,0.111667,0.378194,1.241656,0.268358,9.856083,0.42634,1.277445,0.244178,9.686146
1,i3d,6,False,low,strict_0.50,0.37,0.37,0.27,3,0.5,0.298333,0.388176,1.241656,0.380507,11.338702,0.497358,1.317365,0.423154,8.710366
5,efficientnet_b4,1,True,low,strict_0.50,0.81,0.81,0.7100000000000001,3,0.5,0.241667,0.295238,0.52349,0.187919,13.674988,0.52975,1.057627,0.264407,9.48522
5,effort_clip_l14,2,False,low,strict_0.50,0.38,0.38,0.28,3,0.5,0.133333,0.313539,0.684564,0.177852,13.435917,0.180929,0.732203,0.227119,15.829622
5,xception_df40,3,False,low,strict_0.50,0.36,0.36,0.26,3,0.5,0.25,0.379381,0.926174,0.305369,11.878667,0.341053,0.976271,0.301695,12.697744
5,videomae,4,False,low,strict_0.50,0.7,0.7,0.6,3,0.4,0.158333,0.404348,0.966443,0.218121,11.856298,0.496429,1.057627,0.39322,9.447037
5,i3d,5,False,low,strict_0.50,0.37,0.37,0.27,1,0.4,0.158333,0.486679,1.04698,0.416107,9.174607,0.551302,1.545763,0.569492,7.296549
5,f3net,6,False,high,strict_0.50,0.54,0.54,0.49000000000000005,3,0.4,0.291667,0.57189,1.691275,0.469799,5.968571,0.598347,1.667797,0.40339,6.772085
10,i3d,1,True,low,strict_0.50,0.33,0.33,0.23,3,0.0,0.0,0.316239,0.72973,0.304054,13.09475,0.449827,0.442953,0.489933,10.507463
10,xception_df40,2,False,low,strict_0.50,0.28,0.28,0.18000000000000002,3,0.3,0.25,0.440945,0.77027,0.310811,10.635917,0.427948,0.402685,0.194631,12.309
10,videomae,3,False,low,strict_0.50,0.53,0.53,0.48000000000000004,3,0.5,0.3,0.457746,0.810811,0.452703,9.686631,0.563798,1.288591,0.610738,6.139915
10,effort_clip_l14,4,False,high,strict_0.50,0.98,0.98,0.98,2,0.4,0.25,0.479339,0.810811,0.216216,10.027429,0.41841,1.006711,0.255034,10.621537
10,efficientnet_b4,5,False,low,strict_0.50,0.7,0.7,0.7,2,0.5,0.3,0.464945,1.094595,0.378378,9.337083,0.52921,1.369128,0.422819,7.931354
10,f3net,6,False,high,strict_0.50,0.58,0.58,0.48,2,0.4,0.283333,0.543624,1.256757,0.439189,7.187869,0.549296,1.167785,0.369128,8.098244
15,xception_df40,1,True,low,strict_0.50,0.27,0.27,0.17,3,0.1,0.15,0.353741,0.408163,0.193878,13.046679,0.487805,0.453608,0.216495,10.865573
15,efficientnet_b4,2,False,high,strict_0.50,0.39,0.39,0.34,2,0.5,0.3,0.385093,0.44898,0.285714,11.150976,0.351515,0.701031,0.340206,13.049085
15,videomae,3,False,low,strict_0.50,0.52,0.52,0.52,3,0.2,0.25,0.44086,0.653061,0.438776,9.403964,0.580087,1.030928,0.628866,5.71522
15,effort_clip_l14,4,False,high,strict_0.50,0.97,0.97,0.97,2,0.3,0.275,0.497041,0.693878,0.255102,10.454357,0.38961,0.742268,0.216495,10.308159
15,f3net,5,False,high,strict_0.50,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.628019,0.938776,0.408163,6.310286,0.534653,0.701031,0.463918,8.153732
15,i3d,6,False,high,strict_0.50,0.71,0.71,0.61,3,0.0,0.0,0.557078,1.020408,0.571429,7.284179,0.442396,0.948454,0.680412,9.895073
20,videomae,1,True,low,strict_0.50,0.58,0.58,0.48,3,0.1,0.033333,0.434109,0.236842,0.355263,10.78781,0.515723,0.545455,0.584416,7.382732
20,i3d,2,False,low,strict_0.50,0.32,0.32,0.27,2,0.1,0.066667,0.352113,0.355263,0.565789,12.23144,0.606965,0.974026,0.87013,3.10772
20,effort_clip_l14,3,False,high,strict_0.50,0.97,0.97,0.87,3,0.1,0.3,0.528,0.473684,0.236842,10.342917,0.186047,0.155844,0.064935,16.232744
20,xception_df40,4,False,low,strict_0.50,0.24,0.24,0.19,3,0.2,0.3,0.469697,0.631579,0.355263,10.167417,0.457143,0.194805,0.103896,11.983402
20,efficientnet_b4,5,False,low,strict_0.50,0.67,0.67,0.5700000000000001,3,0.1,0.266667,0.509554,0.75,0.565789,7.935202,0.582915,0.974026,0.883117,3.204524
20,f3net,6,False,high,strict_0.50,0.44,0.44,0.44,3,0.2,0.3,0.644444,0.828947,0.631579,3.974738,0.591716,0.779221,0.597403,5.312768
30,videomae,1,True,low,strict_0.50,0.54,0.54,0.44000000000000006,2,0.1,0.05,0.449438,0.259259,0.425926,10.094393,0.595041,0.346154,0.711538,4.952012
30,i3d,2,False,high,strict_0.50,0.7,0.7,0.6499999999999999,2,0.1,0.15,0.586207,0.296296,0.666667,3.898488,0.559322,0.269231,0.711538,5.402146
30,xception_df40,3,False,low,strict_0.50,0.17,0.17,0.17,3,0.2,0.3,0.564706,0.296296,0.277778,10.409893,0.505051,0.230769,0.5,8.592427
30,f3net,4,False,high,strict_0.50,0.41,0.41,0.41,3,0.1,0.3,0.644628,0.333333,0.666667,3.714524,0.548673,0.346154,0.653846,5.421537
30,effort_clip_l14,5,False,low,strict_0.50,0.09,0.09,0.039999999999999994,2,0.3,0.3,0.574468,0.333333,0.388889,8.619607,0.454545,0.307692,0.711538,7.640195
30,efficientnet_b4,6,False,low,strict_0.50,0.66,0.66,0.66,2,0.2,0.3,0.5,0.37037,0.537037,6.776905,0.6,0.307692,0.423077,7.576659
60,i3d,1,True,low,strict_0.50,0.31,0.31,0.26,2,0.0,0.0,0.05,0.125,0.541667,16.045536,0.52,0.16,0.48,9.232134
60,efficientnet_b4,2,False,low,strict_0.50,0.66,0.66,0.56,2,0.0,0.0,0.566038,0.25,0.5,7.059798,0.65625,0.36,0.72,3.60689
60,xception_df40,3,False,low,strict_0.50,0.17,0.17,0.17,3,0.0,0.0,0.530612,0.25,0.416667,8.209548,0.458333,0.16,0.48,10.019659
60,effort_clip_l14,4,False,high,strict_0.50,0.88,0.88,0.88,1,0.2,0.3,0.5,0.291667,0.416667,9.516488,0.488889,0.28,0.36,7.81472
60,f3net,5,False,high,strict_0.50,0.49,0.49,0.44,1,0.2,0.3,0.71875,0.333333,0.625,1.55294,0.666667,0.4,0.52,4.920159
60,videomae,6,False,high,strict_0.50,0.47,0.47,0.47,1,0.3,0.3,0.641509,0.375,0.416667,6.862726,0.409091,0.36,0.4,11.489683
