window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
5,i3d,1,True,low,strict_0.10,0.39,0.39,0.29000000000000004,3,0.1,0.025,0.025723,0.040268,0.016779,17.599524,0.099707,0.284746,0.064407,17.149512
5,xception_df40,2,False,low,strict_0.10,0.74,0.74,0.74,3,0.1,0.025,0.143713,0.120805,0.026846,15.883679,0.101493,0.162712,0.044068,17.31311
5,efficientnet_b4,3,False,low,strict_0.10,0.85,0.85,0.75,3,0.1,0.041667,0.202312,0.161074,0.030201,15.4645,0.382284,0.610169,0.142373,12.642988
5,effort_clip_l14,4,False,low,strict_0.10,0.79,0.79,0.79,2,0.1,0.025,0.117647,0.241611,0.060403,16.289202,0.074499,0.447458,0.105085,17.212512
5,f3net,5,False,high,strict_0.10,0.68,0.68,0.63,3,0.1,0.025,0.379233,0.765101,0.191275,11.839179,0.472406,0.610169,0.138983,11.187
5,videomae,6,False,low,strict_0.10,0.73,0.73,0.63,3,0.1,0.041667,0.39823,0.885906,0.201342,11.97069,0.466418,0.894915,0.359322,10.380878
10,xception_df40,1,True,low,strict_0.10,0.44,0.44,0.44,3,0.1,0.05,0.309179,0.364865,0.155405,13.685226,0.313131,0.281879,0.107383,14.115341
10,videomae,2,False,low,strict_0.10,0.66,0.66,0.56,3,0.0,0.0,0.277228,0.364865,0.148649,13.946167,0.469751,0.765101,0.42953,10.00989
10,efficientnet_b4,3,False,low,strict_0.10,0.8,0.8,0.7000000000000001,3,0.0,0.0,0.178947,0.405405,0.141892,15.877798,0.396313,0.483221,0.154362,12.274512
10,i3d,4,False,low,strict_0.10,0.33,0.33,0.23,3,0.0,0.0,0.316239,0.72973,0.304054,13.09475,0.449827,0.442953,0.489933,10.507463
10,effort_clip_l14,5,False,high,strict_0.10,0.99,0.99,0.89,3,0.0,0.0,0.513834,0.891892,0.243243,9.809381,0.316742,0.845638,0.234899,13.858549
10,f3net,6,False,high,strict_0.10,0.61,0.61,0.51,2,0.1,0.05,0.539568,1.013514,0.344595,8.071321,0.546125,1.006711,0.308725,8.661341
15,xception_df40,1,True,low,strict_0.10,0.52,0.52,0.52,2,0.1,0.05,0.162602,0.285714,0.112245,16.060679,0.27907,0.247423,0.082474,14.747293
15,videomae,2,False,low,strict_0.10,0.69,0.69,0.59,2,0.0,0.0,0.258993,0.367347,0.193878,14.356821,0.488636,0.57732,0.309278,10.267927
15,efficientnet_b4,3,False,high,strict_0.10,0.53,0.53,0.43000000000000005,1,0.1,0.05,0.262774,0.408163,0.173469,14.027119,0.215385,0.412371,0.134021,14.672195
15,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.5125,0.530612,0.173469,10.653786,0.29932,0.659794,0.226804,13.521402
15,f3net,5,False,high,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.628019,0.938776,0.408163,6.310286,0.534653,0.701031,0.463918,8.153732
15,i3d,6,False,high,strict_0.10,0.71,0.71,0.61,3,0.0,0.0,0.557078,1.020408,0.571429,7.284179,0.442396,0.948454,0.680412,9.895073
30,efficientnet_b4,1,True,low,strict_0.10,0.73,0.73,0.63,2,0.0,0.0,0.32,0.222222,0.314815,12.077774,0.590476,0.307692,0.5,6.457463
30,xception_df40,2,False,low,strict_0.10,0.26,0.26,0.21000000000000002,3,0.0,0.0,0.416667,0.222222,0.203704,12.582298,0.463415,0.192308,0.288462,10.92428
30,i3d,3,False,high,strict_0.10,0.7,0.7,0.6499999999999999,3,0.0,0.0,0.519231,0.259259,0.574074,6.068726,0.209302,0.192308,0.557692,14.307512
30,f3net,4,False,high,strict_0.10,0.49,0.49,0.39,3,0.0,0.0,0.560748,0.259259,0.574074,7.334083,0.489362,0.230769,0.442308,8.441817
30,effort_clip_l14,5,False,low,strict_0.10,0.19,0.19,0.09,2,0.1,0.05,0.571429,0.259259,0.259259,9.417512,0.344086,0.269231,0.557692,11.054305
30,videomae,6,False,low,strict_0.10,0.54,0.54,0.44000000000000006,2,0.1,0.05,0.449438,0.259259,0.425926,10.094393,0.595041,0.346154,0.711538,4.952012
60,effort_clip_l14,1,True,high,strict_0.10,0.9,0.9,0.8,2,0.0,0.0,0.391304,0.125,0.458333,12.243643,0.565217,0.16,0.32,7.564415
60,i3d,2,False,low,strict_0.10,0.31,0.31,0.26,2,0.0,0.0,0.05,0.125,0.541667,16.045536,0.52,0.16,0.48,9.232134
60,f3net,3,False,high,strict_0.10,0.58,0.58,0.48,1,0.0,0.0,0.716981,0.208333,0.333333,5.853298,0.75,0.2,0.2,7.041024
60,videomae,4,False,high,strict_0.10,0.47,0.47,0.37,2,0.0,0.0,0.56,0.208333,0.416667,8.730131,0.25641,0.2,0.36,13.519085
60,efficientnet_b4,5,False,low,strict_0.10,0.66,0.66,0.56,2,0.0,0.0,0.566038,0.25,0.5,7.059798,0.65625,0.36,0.72,3.60689
60,xception_df40,6,False,low,strict_0.10,0.17,0.17,0.17,3,0.0,0.0,0.530612,0.25,0.416667,8.209548,0.458333,0.16,0.48,10.019659
