backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.462267,0.537733,63,57,0.350579,0.102747,0.16331,0.289912,0.360336,0.417104,0.507956,0.338595,0.13216,0.139125,0.25138,0.325225,0.433097,0.547464,-0.011984
efficientnet_b4,all,score_raw,low,0.445668,0.554332,169,151,0.35083,0.12096,0.167023,0.276234,0.346898,0.415258,0.547225,0.330593,0.137554,0.130634,0.231599,0.314922,0.418678,0.569513,-0.020236
effort_clip_l14,calibration,score_raw,low,0.498747,0.501253,63,57,0.831079,0.158191,0.606219,0.714249,0.880151,0.965466,0.986832,0.808826,0.197371,0.516539,0.693703,0.860058,0.971538,0.996475,-0.022253
effort_clip_l14,all,score_raw,low,0.524276,0.475724,169,151,0.813599,0.191368,0.419983,0.7138,0.880151,0.96466,0.994359,0.81885,0.198001,0.484445,0.718224,0.894485,0.975276,0.996354,0.005251
f3net,calibration,score_raw,high,0.515455,0.515455,63,57,0.515335,0.154629,0.277711,0.416343,0.509422,0.621832,0.821263,0.52651,0.193692,0.205711,0.415365,0.511619,0.681033,0.821948,0.011175
f3net,all,score_raw,high,0.557506,0.557506,169,151,0.514785,0.163232,0.273772,0.401496,0.495501,0.619045,0.834153,0.548969,0.182825,0.267627,0.422402,0.546644,0.668945,0.842775,0.034184
i3d,calibration,score_raw,high,0.533835,0.533835,63,57,0.691543,0.026354,0.632088,0.67854,0.695725,0.709016,0.726908,0.691022,0.033793,0.605902,0.673369,0.699268,0.718132,0.726122,-0.000521
i3d,all,score_raw,high,0.477357,0.477357,169,150,0.695608,0.024994,0.64426,0.68207,0.700209,0.713368,0.726364,0.692357,0.029089,0.634486,0.674538,0.699476,0.714937,0.727234,-0.003251
videomae,calibration,score_raw,low,0.378168,0.621832,63,57,0.504549,0.15966,0.217578,0.406448,0.518075,0.632423,0.724036,0.42103,0.207689,0.112773,0.251606,0.444649,0.575966,0.768726,-0.083519
videomae,all,score_raw,low,0.391003,0.608997,169,151,0.489696,0.172401,0.193141,0.354335,0.500741,0.621104,0.738983,0.410949,0.206687,0.049809,0.236269,0.444098,0.559015,0.732282,-0.078746
xception_df40,calibration,score_raw,low,0.466722,0.533278,63,57,0.720841,0.183412,0.387383,0.610115,0.762591,0.87716,0.957266,0.695379,0.201941,0.291403,0.597716,0.744543,0.859061,0.956884,-0.025462
xception_df40,all,score_raw,low,0.475293,0.524707,169,151,0.743498,0.192601,0.382432,0.632674,0.801057,0.887232,0.970371,0.721694,0.209729,0.307727,0.612381,0.755494,0.888898,0.976448,-0.021804
