window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
1,xception_df40,1,True,low,strict_0.10,0.98,0.98,0.88,2,0.1,0.015,0.021025,0.040053,0.00267,17.473595,0.018457,0.03992,0.003992,18.127671
1,i3d,2,False,low,strict_0.10,0.45,0.45,0.35,3,0.1,0.025,0.028516,0.12016,0.012684,17.392286,0.005277,0.07984,0.00998,18.249622
1,effort_clip_l14,3,False,low,strict_0.10,0.9,0.9,0.8,3,0.1,0.03,0.060382,0.160214,0.048064,16.960405,0.068565,0.479042,0.10978,17.070305
1,videomae,4,False,low,strict_0.10,0.98,0.98,0.88,3,0.1,0.006667,0.173357,0.200267,0.045394,15.279369,0.206697,0.319361,0.037259,15.416183
1,efficientnet_b4,5,False,low,strict_0.10,0.91,0.91,0.81,3,0.1,0.008333,0.149555,0.320427,0.038051,15.54525,0.255091,0.359281,0.087159,14.215024
1,f3net,6,False,high,strict_0.10,0.81,0.81,0.7100000000000001,3,0.1,0.016667,0.299709,0.921228,0.167557,11.715679,0.357352,0.798403,0.126414,11.944878
2,xception_df40,1,True,low,strict_0.10,0.96,0.96,0.96,3,0.1,0.023333,0.021025,0.039947,0.005326,17.533095,0.013158,0.04,0.006667,18.164256
2,i3d,2,False,low,strict_0.10,0.44,0.44,0.33999999999999997,2,0.1,0.026667,0.023468,0.11984,0.011984,17.510738,0.012953,0.16,0.022667,18.16522
2,effort_clip_l14,3,False,low,strict_0.10,0.84,0.84,0.7899999999999999,3,0.1,0.026667,0.119617,0.159787,0.049268,16.253452,0.066743,0.52,0.12,17.1445
2,efficientnet_b4,4,False,low,strict_0.10,0.89,0.89,0.79,3,0.1,0.02,0.159812,0.399467,0.045273,15.602429,0.290946,0.56,0.12,13.914793
2,videomae,5,False,low,strict_0.10,0.88,0.88,0.78,3,0.1,0.02,0.264766,0.719041,0.13715,13.184131,0.388033,0.72,0.185333,11.547902
2,f3net,6,False,high,strict_0.10,0.79,0.79,0.6900000000000001,2,0.0,0.0,0.306654,0.998668,0.171771,11.21931,0.365184,0.92,0.152,11.593744
3,i3d,1,True,low,strict_0.10,0.45,0.45,0.35,1,0.1,0.025,0.034682,0.080645,0.012097,17.252321,0.007859,0.08016,0.012024,18.237427
3,xception_df40,2,False,low,strict_0.10,0.92,0.92,0.92,3,0.1,0.025,0.037951,0.120968,0.02621,17.369512,0.007843,0.08016,0.014028,18.213037
3,effort_clip_l14,3,False,low,strict_0.10,0.84,0.84,0.7899999999999999,3,0.1,0.025,0.106762,0.16129,0.056452,16.467738,0.055846,0.440882,0.112224,17.301732
3,videomae,4,False,low,strict_0.10,0.92,0.92,0.8200000000000001,2,0.1,0.02,0.22508,0.483871,0.096774,14.011,0.335277,0.601202,0.140281,12.649
3,efficientnet_b4,5,False,low,strict_0.10,0.88,0.88,0.78,2,0.1,0.02,0.2,0.524194,0.072581,14.707214,0.369535,0.761523,0.154309,12.042073
3,f3net,6,False,high,strict_0.10,0.75,0.75,0.65,3,0.1,0.015,0.334262,0.927419,0.189516,11.731655,0.407557,0.881764,0.178357,11.133256
4,xception_df40,1,True,low,strict_0.10,0.97,0.97,0.9199999999999999,1,0.1,0.02,0.010638,0.039788,0.002653,17.755,0.021164,0.039788,0.002653,18.115476
4,i3d,2,False,low,strict_0.10,0.41,0.41,0.30999999999999994,3,0.1,0.026667,0.005319,0.039788,0.005305,17.788607,0.01039,0.119363,0.026525,18.16522
4,videomae,3,False,low,strict_0.10,0.92,0.92,0.8200000000000001,3,0.0,0.0,0.208333,0.198939,0.037135,15.300345,0.327198,0.35809,0.095491,13.878585
4,effort_clip_l14,4,False,low,strict_0.10,0.75,0.75,0.75,3,0.1,0.02,0.12766,0.238727,0.061008,16.342774,0.060185,0.437666,0.122016,17.322305
4,efficientnet_b4,5,False,low,strict_0.10,0.88,0.88,0.78,2,0.1,0.02,0.174713,0.397878,0.06366,15.034774,0.310757,0.517241,0.135279,13.148976
4,f3net,6,False,high,strict_0.10,0.7,0.7,0.6,3,0.1,0.026667,0.391382,0.915119,0.198939,11.241238,0.464957,0.954907,0.201592,10.146195
5,i3d,1,True,low,strict_0.10,0.39,0.39,0.29000000000000004,3,0.1,0.025,0.025723,0.040268,0.016779,17.599524,0.099707,0.284746,0.064407,17.149512
5,xception_df40,2,False,low,strict_0.10,0.74,0.74,0.74,3,0.1,0.025,0.143713,0.120805,0.026846,15.883679,0.101493,0.162712,0.044068,17.31311
5,efficientnet_b4,3,False,low,strict_0.10,0.85,0.85,0.75,3,0.1,0.041667,0.202312,0.161074,0.030201,15.4645,0.382284,0.610169,0.142373,12.642988
5,effort_clip_l14,4,False,low,strict_0.10,0.79,0.79,0.79,2,0.1,0.025,0.117647,0.241611,0.060403,16.289202,0.074499,0.447458,0.105085,17.212512
5,f3net,5,False,high,strict_0.10,0.68,0.68,0.63,3,0.1,0.025,0.379233,0.765101,0.191275,11.839179,0.472406,0.610169,0.138983,11.187
5,videomae,6,False,low,strict_0.10,0.73,0.73,0.63,3,0.1,0.041667,0.39823,0.885906,0.201342,11.97069,0.466418,0.894915,0.359322,10.380878
6,i3d,1,True,low,strict_0.10,0.43,0.43,0.32999999999999996,2,0.0,0.0,0.023904,0.039526,0.003953,17.599524,0.015504,0.120482,0.02008,18.16522
6,xception_df40,2,False,low,strict_0.10,0.69,0.69,0.6399999999999999,3,0.1,0.04,0.166065,0.118577,0.027668,15.751512,0.147887,0.160643,0.048193,16.750122
6,effort_clip_l14,3,False,low,strict_0.10,0.68,0.68,0.68,3,0.1,0.01,0.114695,0.118577,0.063241,16.50756,0.029197,0.200803,0.076305,18.006366
6,efficientnet_b4,4,False,low,strict_0.10,0.87,0.87,0.77,2,0.1,0.03,0.188811,0.27668,0.047431,15.344607,0.343195,0.481928,0.116466,12.810451
6,videomae,5,False,low,strict_0.10,0.71,0.71,0.61,3,0.1,0.03,0.423592,0.711462,0.185771,11.811405,0.515419,0.923695,0.345382,8.717354
6,f3net,6,False,high,strict_0.10,0.71,0.71,0.61,2,0.1,0.03,0.350685,0.909091,0.213439,11.438595,0.472081,0.963855,0.200803,9.802866
7,xception_df40,1,True,low,strict_0.10,0.73,0.73,0.73,3,0.1,0.035,0.088106,0.078585,0.027505,17.003226,0.103004,0.158103,0.040184,16.817171
7,effort_clip_l14,2,False,low,strict_0.10,0.38,0.38,0.33,3,0.1,0.008333,0.288809,0.275049,0.116568,13.879393,0.083969,0.434783,0.179842,16.659744
7,efficientnet_b4,3,False,low,strict_0.10,0.88,0.88,0.83,1,0.1,0.011667,0.150628,0.314342,0.045842,15.515536,0.323741,0.434783,0.096838,12.768317
7,i3d,4,False,low,strict_0.10,0.33,0.33,0.33,3,0.1,0.035,0.2,0.43222,0.105435,15.148762,0.197719,0.395257,0.115283,15.737524
7,videomae,5,False,low,strict_0.10,0.7,0.7,0.6,3,0.1,0.046667,0.322581,0.589391,0.223314,12.705024,0.452128,0.83004,0.36166,10.703451
7,f3net,6,False,high,strict_0.10,0.61,0.61,0.51,3,0.1,0.046667,0.534392,0.825147,0.301244,9.012702,0.5,0.83004,0.26614,10.282171
8,xception_df40,1,True,low,strict_0.10,0.69,0.69,0.59,3,0.1,0.04,0.079208,0.079787,0.037234,16.538679,0.173516,0.203804,0.048913,16.255707
8,efficientnet_b4,2,False,low,strict_0.10,0.85,0.85,0.75,3,0.0,0.0,0.154589,0.119681,0.021277,16.218595,0.267782,0.244565,0.086957,15.039049
8,effort_clip_l14,3,False,low,strict_0.10,0.32,0.32,0.22,3,0.1,0.013333,0.360902,0.518617,0.164894,12.673726,0.170543,0.570652,0.244565,15.953915
8,i3d,4,False,low,strict_0.10,0.32,0.32,0.32,3,0.1,0.04,0.204724,0.558511,0.218085,15.01769,0.322835,0.366848,0.119565,13.46011
8,videomae,5,False,low,strict_0.10,0.67,0.67,0.5700000000000001,3,0.1,0.04,0.303249,0.598404,0.255319,12.908988,0.504399,0.774457,0.347826,9.726817
8,f3net,6,False,high,strict_0.10,0.57,0.57,0.47,3,0.1,0.04,0.539084,1.196809,0.446809,7.53869,0.526627,1.019022,0.315217,9.428049
9,i3d,1,True,low,strict_0.10,0.38,0.38,0.28,2,0.1,0.045,0.034286,0.0409,0.006135,17.599524,0.126316,0.316206,0.077075,16.946317
9,xception_df40,2,False,low,strict_0.10,0.66,0.66,0.56,2,0.1,0.045,0.192893,0.204499,0.042945,15.41981,0.225641,0.158103,0.045455,15.44789
9,efficientnet_b4,3,False,low,strict_0.10,0.83,0.83,0.73,3,0.0,0.0,0.171717,0.245399,0.06135,15.878845,0.347826,0.434783,0.148221,13.2415
9,videomae,4,False,low,strict_0.10,0.64,0.64,0.54,3,0.1,0.045,0.394052,0.490798,0.274029,11.671869,0.502959,0.988142,0.517787,8.025415
9,effort_clip_l14,5,False,high,strict_0.10,0.99,0.99,0.89,3,0.0,0.0,0.57732,0.940695,0.220859,8.112607,0.534722,1.027668,0.270751,8.916537
9,f3net,6,False,high,strict_0.10,0.56,0.56,0.4600000000000001,3,0.1,0.045,0.557103,1.226994,0.537832,6.951655,0.533784,0.83004,0.304348,8.796305
10,xception_df40,1,True,low,strict_0.10,0.44,0.44,0.44,3,0.1,0.05,0.309179,0.364865,0.155405,13.685226,0.313131,0.281879,0.107383,14.115341
10,videomae,2,False,low,strict_0.10,0.66,0.66,0.56,3,0.0,0.0,0.277228,0.364865,0.148649,13.946167,0.469751,0.765101,0.42953,10.00989
10,efficientnet_b4,3,False,low,strict_0.10,0.8,0.8,0.7000000000000001,3,0.0,0.0,0.178947,0.405405,0.141892,15.877798,0.396313,0.483221,0.154362,12.274512
10,i3d,4,False,low,strict_0.10,0.33,0.33,0.23,3,0.0,0.0,0.316239,0.72973,0.304054,13.09475,0.449827,0.442953,0.489933,10.507463
10,effort_clip_l14,5,False,high,strict_0.10,0.99,0.99,0.89,3,0.0,0.0,0.513834,0.891892,0.243243,9.809381,0.316742,0.845638,0.234899,13.858549
10,f3net,6,False,high,strict_0.10,0.61,0.61,0.51,2,0.1,0.05,0.539568,1.013514,0.344595,8.071321,0.546125,1.006711,0.308725,8.661341
11,xception_df40,1,True,low,strict_0.10,0.58,0.58,0.48,3,0.0,0.0,0.13245,0.080429,0.018767,16.39619,0.196319,0.204778,0.049147,15.835854
11,effort_clip_l14,2,False,high,strict_0.10,0.99,0.99,0.89,3,0.0,0.0,0.495413,0.603217,0.191689,10.262012,0.306931,0.778157,0.229352,14.364415
11,videomae,3,False,low,strict_0.10,0.72,0.72,0.62,2,0.1,0.036667,0.346939,0.603217,0.173592,12.983881,0.426087,0.65529,0.304437,10.945756
11,efficientnet_b4,4,False,low,strict_0.10,0.78,0.78,0.68,3,0.0,0.0,0.25,0.603217,0.217828,14.464262,0.518219,0.982935,0.322867,8.888415
11,i3d,5,False,low,strict_0.10,0.32,0.32,0.27,3,0.0,0.0,0.273764,0.764075,0.646113,13.201893,0.454874,0.532423,0.548805,9.77528
11,f3net,6,False,high,strict_0.10,0.59,0.59,0.49,3,0.0,0.0,0.48062,0.965147,0.427614,9.076262,0.401826,0.737201,0.262799,11.401085
12,xception_df40,1,True,low,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.140845,0.081967,0.032787,16.341929,0.198582,0.155039,0.046512,15.909024
12,videomae,2,False,low,strict_0.10,0.69,0.69,0.59,2,0.1,0.04,0.346369,0.532787,0.163934,12.912571,0.46789,0.697674,0.356589,10.051793
12,i3d,3,False,low,strict_0.10,0.32,0.32,0.27,3,0.0,0.0,0.22807,0.532787,0.606557,14.136202,0.584906,1.434109,0.806202,4.33878
12,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,3,0.0,0.0,0.484211,0.655738,0.131148,11.392726,0.254545,0.658915,0.178295,14.951988
12,f3net,5,False,high,strict_0.10,0.64,0.64,0.54,2,0.1,0.04,0.545455,0.778689,0.262295,8.666821,0.497409,0.542636,0.186047,10.755622
12,efficientnet_b4,6,False,low,strict_0.10,0.76,0.76,0.66,3,0.0,0.0,0.368159,0.778689,0.295082,12.08156,0.517241,0.813953,0.395349,8.88589
13,xception_df40,1,True,low,strict_0.10,0.52,0.52,0.42000000000000004,3,0.0,0.0,0.188406,0.163934,0.045765,15.920107,0.218978,0.201342,0.036242,15.916744
13,efficientnet_b4,2,False,low,strict_0.10,0.79,0.79,0.6900000000000001,3,0.0,0.0,0.213333,0.286885,0.125683,15.194667,0.402174,0.442953,0.261745,11.939854
13,videomae,3,False,low,strict_0.10,0.66,0.66,0.56,3,0.0,0.0,0.34555,0.409836,0.338798,12.036595,0.488038,0.644295,0.342953,10.230902
13,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.497238,0.614754,0.135929,10.70044,0.489796,0.926174,0.255705,10.131317
13,i3d,5,False,low,strict_0.10,0.31,0.31,0.26,3,0.0,0.0,0.450593,0.778689,0.653689,9.261417,0.695971,1.57047,0.510067,3.171378
13,f3net,6,False,high,strict_0.10,0.6,0.6,0.5,3,0.0,0.0,0.537445,1.106557,0.41735,7.896964,0.363636,0.684564,0.23557,12.572073
14,xception_df40,1,True,low,strict_0.10,0.5,0.5,0.45,3,0.0,0.0,0.115702,0.121786,0.046008,16.67556,0.292308,0.119681,0.037234,14.607134
14,videomae,2,False,low,strict_0.10,0.72,0.72,0.62,2,0.0,0.0,0.30137,0.405954,0.140731,13.927679,0.434286,0.558511,0.277926,11.287646
14,effort_clip_l14,3,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.478528,0.487145,0.142084,10.881571,0.48,0.87766,0.240691,10.715073
14,efficientnet_b4,4,False,low,strict_0.10,0.75,0.75,0.65,3,0.0,0.0,0.313725,0.487145,0.188092,13.102012,0.520179,1.236702,0.538564,7.165415
14,i3d,5,False,low,strict_0.10,0.31,0.31,0.26,3,0.0,0.0,0.431193,0.52774,0.583221,10.207631,0.567273,1.43617,0.832447,4.827207
14,f3net,6,False,high,strict_0.10,0.6,0.6,0.5,2,0.1,0.046667,0.497512,0.97429,0.396482,8.938881,0.538462,0.718085,0.240691,9.835951
15,xception_df40,1,True,low,strict_0.10,0.52,0.52,0.52,2,0.1,0.05,0.162602,0.285714,0.112245,16.060679,0.27907,0.247423,0.082474,14.747293
15,videomae,2,False,low,strict_0.10,0.69,0.69,0.59,2,0.0,0.0,0.258993,0.367347,0.193878,14.356821,0.488636,0.57732,0.309278,10.267927
15,efficientnet_b4,3,False,high,strict_0.10,0.53,0.53,0.43000000000000005,1,0.1,0.05,0.262774,0.408163,0.173469,14.027119,0.215385,0.412371,0.134021,14.672195
15,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.5125,0.530612,0.173469,10.653786,0.29932,0.659794,0.226804,13.521402
15,f3net,5,False,high,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.628019,0.938776,0.408163,6.310286,0.534653,0.701031,0.463918,8.153732
15,i3d,6,False,high,strict_0.10,0.71,0.71,0.61,3,0.0,0.0,0.557078,1.020408,0.571429,7.284179,0.442396,0.948454,0.680412,9.895073
16,xception_df40,1,True,low,strict_0.10,0.43,0.43,0.32999999999999996,3,0.0,0.0,0.178571,0.080214,0.069519,16.05106,0.347107,0.16129,0.053763,13.867451
16,i3d,2,False,low,strict_0.10,0.32,0.32,0.27,3,0.0,0.0,0.217054,0.280749,0.203209,15.20119,0.493333,0.362903,0.182796,11.216488
16,videomae,3,False,low,strict_0.10,0.62,0.62,0.57,3,0.0,0.0,0.415094,0.481283,0.326203,10.897881,0.483516,0.725806,0.451613,9.541439
16,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.5,0.601604,0.171123,10.730429,0.25,0.564516,0.177419,14.626939
16,f3net,5,False,high,strict_0.10,0.52,0.52,0.42000000000000004,3,0.0,0.0,0.625592,1.002674,0.524064,5.749786,0.613861,0.766129,0.467742,6.297
16,efficientnet_b4,6,False,low,strict_0.10,0.68,0.68,0.5800000000000001,3,0.0,0.0,0.567164,1.082888,0.513369,6.041833,0.553191,1.25,0.784946,5.147732
17,xception_df40,1,True,low,strict_0.10,0.5,0.5,0.5,3,0.0,0.0,0.058824,0.168303,0.051192,17.298679,0.215686,0.156556,0.044357,15.841939
17,i3d,2,False,low,strict_0.10,0.32,0.32,0.27,3,0.0,0.0,0.26506,0.420757,0.570827,14.183857,0.510638,0.35225,0.183953,10.91828
17,effort_clip_l14,3,False,low,strict_0.10,0.13,0.13,0.03,3,0.0,0.0,0.493333,0.462833,0.201262,10.815679,0.447917,0.782779,0.664057,9.359805
17,f3net,4,False,high,strict_0.10,0.61,0.61,0.51,2,0.0,0.0,0.5375,0.673212,0.274194,8.665012,0.462687,0.35225,0.17743,11.312159
17,videomae,5,False,low,strict_0.10,0.56,0.56,0.4600000000000001,3,0.1,0.036667,0.464088,0.715288,0.519635,9.384857,0.611111,1.056751,0.682975,4.125207
17,efficientnet_b4,6,False,low,strict_0.10,0.69,0.69,0.59,3,0.0,0.0,0.594595,0.88359,0.412342,7.433405,0.548837,1.135029,0.733855,4.969293
18,effort_clip_l14,1,True,low,strict_0.10,0.31,0.31,0.21,2,0.1,0.01,0.327273,0.232558,0.100775,13.561714,0.160714,0.414938,0.19917,15.95261
18,i3d,2,False,low,strict_0.10,0.33,0.33,0.23,2,0.0,0.0,0.431655,0.426357,0.29845,11.261202,0.628931,0.539419,0.257261,8.32478
18,videomae,3,False,low,strict_0.10,0.58,0.58,0.48,3,0.0,0.0,0.372414,0.426357,0.403101,11.762369,0.550265,0.871369,0.605809,7.176793
18,xception_df40,4,False,high,strict_0.10,0.95,0.95,0.85,1,0.1,0.03,0.4,0.581395,0.294574,11.520143,0.42963,0.6639,0.219917,11.730598
18,f3net,5,False,high,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.563536,0.658915,0.542636,6.790964,0.503226,0.497925,0.344398,10.379427
