window_s,validation_winner,validation_winner_f1,validation_winner_false_alerts_per_min,validation_winner_false_alert_time_ratio,validation_winner_ttfd_s,validation_mean_f1,validation_mean_false_alerts_per_min,validation_mean_false_alert_time_ratio,validation_mean_ttfd_s,test_mean_f1,test_mean_false_alerts_per_min,test_mean_false_alert_time_ratio,test_mean_ttfd_s
1,xception_df40,0.021025,0.040053,0.00267,17.473595,0.12209066666666667,0.2937248333333334,0.052403333333333336,15.727764,0.1519065,0.3459745,0.06243066666666667,15.8372805
2,xception_df40,0.021025,0.039947,0.005326,17.533095,0.14922366666666667,0.406125,0.07012866666666666,15.217192500000001,0.18950283333333331,0.48666666666666664,0.10111116666666665,15.0884025
3,i3d,0.034682,0.080645,0.012097,17.252321,0.15645616666666667,0.3830645,0.07560499999999999,15.256573333333334,0.19731949999999998,0.47428183333333335,0.10187049999999999,14.929420833333333
4,xception_df40,0.010638,0.039788,0.002653,17.755,0.1530075,0.30503983333333334,0.061450000000000005,15.577123,0.1991085,0.40450916666666664,0.09725933333333332,15.129459500000001
5,i3d,0.025723,0.040268,0.016779,17.599524,0.211143,0.3691275,0.08780766666666667,14.841129,0.2661345,0.5016948333333333,0.142373,14.314333333333332
6,i3d,0.023904,0.039526,0.003953,17.599524,0.211292,0.36231883333333337,0.0902505,14.742200500000001,0.2538805,0.4752343333333333,0.13453816666666665,14.042063166666667
7,xception_df40,0.088106,0.078585,0.027505,17.003226,0.264086,0.4191223333333333,0.13665133333333335,13.8774405,0.27676016666666664,0.5138343333333334,0.17665783333333332,13.828063
8,xception_df40,0.079208,0.079787,0.037234,16.538679,0.273626,0.5119681666666667,0.190603,13.482728,0.327617,0.5298913333333334,0.1938405,13.310607833333334
9,i3d,0.034286,0.0409,0.006135,17.599524,0.32122850000000003,0.5248808333333334,0.19052499999999997,12.605718333333334,0.37854133333333334,0.6258236666666667,0.22727283333333334,11.895660666666666
10,xception_df40,0.309179,0.364865,0.155405,13.685226,0.3558325,0.6283785000000001,0.22297299999999998,12.414107166666668,0.41531483333333336,0.6375838333333333,0.287472,11.571182666666667
11,xception_df40,0.13245,0.080429,0.018767,16.39619,0.3298643333333333,0.603217,0.2792671666666667,12.73075,0.3840426666666667,0.648464,0.2862345,11.8684675
12,xception_df40,0.140845,0.081967,0.032787,16.341929,0.35218483333333334,0.5601094999999999,0.24863383333333333,12.588634833333332,0.4200955,0.7170543333333333,0.32816566666666663,10.815516166666667
13,xception_df40,0.188406,0.163934,0.045765,15.920107,0.37209416666666667,0.5601091666666667,0.28620233333333334,11.835031666666666,0.4430988333333334,0.7449663333333333,0.2737136666666667,10.660378
14,xception_df40,0.115702,0.121786,0.046008,16.67556,0.35633833333333337,0.5006766666666667,0.24943633333333334,12.288889,0.47208466666666665,0.8244681666666667,0.36125883333333336,9.739737666666667
15,xception_df40,0.162602,0.285714,0.112245,16.060679,0.3969943333333333,0.5918366666666667,0.2721088333333333,11.448811666666666,0.3765766666666666,0.5910655,0.3161511666666667,11.876270333333332
