run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_01__efficientnet_b4,efficientnet_b4,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.375,610.64,10.64,19,0,0
calibration_mixed_01__efficientnet_b4,efficientnet_b4,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.407,610.328,10.328,19,0,0
calibration_mixed_02__efficientnet_b4,efficientnet_b4,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.406,610.141,10.141,19,0,0
calibration_mixed_03__efficientnet_b4,efficientnet_b4,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.375,610.266,10.266,19,0,0
calibration_mixed_04__efficientnet_b4,efficientnet_b4,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.391,610.266,10.266,19,0,0
calibration_real_only_01__efficientnet_b4,efficientnet_b4,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.39,610.375,10.375,19,0,0
test_fake_only_01__efficientnet_b4,efficientnet_b4,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.391,610.157,10.157,19,0,0
test_mixed_01__efficientnet_b4,efficientnet_b4,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.375,610.016,10.016,19,0,0
test_mixed_02__efficientnet_b4,efficientnet_b4,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.391,610.219,10.219,19,0,0
test_mixed_03__efficientnet_b4,efficientnet_b4,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.375,610.203,10.203,19,0,0
test_real_only_01__efficientnet_b4,efficientnet_b4,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.39,610.578,10.578,19,0,0
validation_fake_only_01__efficientnet_b4,efficientnet_b4,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.407,610.344,10.344,19,0,0
validation_mixed_01__efficientnet_b4,efficientnet_b4,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.391,610.719,10.719,19,0,0
validation_mixed_02__efficientnet_b4,efficientnet_b4,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.391,610.219,10.219,19,0,0
validation_mixed_03__efficientnet_b4,efficientnet_b4,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.406,610.344,10.344,19,0,0
validation_real_only_01__efficientnet_b4,efficientnet_b4,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.406,610.297,10.297,19,0,0
calibration_fake_only_01__effort_clip_l14,effort_clip_l14,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.343,610.25,10.25,19,0,0
calibration_mixed_01__effort_clip_l14,effort_clip_l14,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.406,609.906,9.906,19,0,0
