backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.46428,0.53572,228,222,0.35444,0.164645,0.128676,0.229274,0.336212,0.461063,0.65523,0.335074,0.164,0.101944,0.211292,0.320353,0.442578,0.667897,-0.019366
efficientnet_b4,all,score_raw,low,0.468917,0.531083,600,600,0.350336,0.172783,0.126236,0.215974,0.320088,0.463954,0.682055,0.332225,0.173549,0.099909,0.203894,0.308328,0.440975,0.657997,-0.018111
effort_clip_l14,calibration,score_raw,low,0.49267,0.50733,228,222,0.827638,0.235108,0.296512,0.759095,0.941674,0.992998,0.999777,0.813095,0.250618,0.221218,0.704518,0.937593,0.990194,0.999837,-0.014543
effort_clip_l14,all,score_raw,low,0.524275,0.475725,600,600,0.802976,0.26841,0.170516,0.702721,0.945643,0.992929,0.999858,0.829143,0.241858,0.249086,0.743336,0.951325,0.994451,0.999766,0.026167
f3net,calibration,score_raw,high,0.519006,0.519006,228,222,0.514056,0.216221,0.169839,0.371355,0.489769,0.662935,0.916609,0.527409,0.238537,0.118243,0.36664,0.542946,0.701472,0.912596,0.013354
f3net,all,score_raw,high,0.529327,0.529327,600,599,0.517527,0.217727,0.164662,0.359083,0.505144,0.664072,0.914682,0.544208,0.234664,0.157235,0.380962,0.527697,0.707893,0.971114,0.026681
i3d,calibration,score_raw,low,0.483049,0.516951,228,222,0.692041,0.041334,0.595638,0.67388,0.703441,0.724761,0.730575,0.690638,0.039802,0.604693,0.670201,0.701754,0.724059,0.730718,-0.001403
i3d,all,score_raw,low,0.482073,0.517927,597,598,0.695142,0.037239,0.617058,0.677258,0.707521,0.723841,0.730621,0.693005,0.038154,0.620345,0.675438,0.704989,0.722932,0.730566,-0.002137
videomae,calibration,score_raw,low,0.422396,0.577604,228,222,0.499119,0.235341,0.075432,0.331653,0.514522,0.656052,0.893315,0.429711,0.252557,0.018976,0.203322,0.433386,0.631497,0.856841,-0.069408
videomae,all,score_raw,low,0.441236,0.558764,600,600,0.47856,0.24971,0.05226,0.279162,0.488506,0.659341,0.891645,0.426515,0.256433,0.023727,0.21543,0.428862,0.61164,0.877921,-0.052045
xception_df40,calibration,score_raw,low,0.477971,0.522029,228,222,0.71214,0.28471,0.143795,0.547636,0.825297,0.949641,0.998762,0.705261,0.268325,0.146736,0.534014,0.80042,0.925007,0.995424,-0.00688
xception_df40,all,score_raw,low,0.506447,0.493553,600,600,0.727674,0.269998,0.17443,0.552132,0.832962,0.954222,0.998016,0.738744,0.26166,0.159037,0.587284,0.828799,0.951654,0.998322,0.011069
