window_s,backend,polarity,validation_auroc,test_auroc
1,efficientnet_b4,low,0.519435,0.554629
1,effort_clip_l14,low,0.476453,0.482432
1,f3net,high,0.519515,0.539355
1,i3d,low,0.506952,0.549829
1,videomae,low,0.533332,0.569573
1,xception_df40,low,0.467627,0.493191
5,efficientnet_b4,low,0.520379,0.552253
5,effort_clip_l14,low,0.47551,0.478055
5,f3net,high,0.525839,0.541851
5,i3d,low,0.493999,0.551442
5,videomae,low,0.534979,0.572781
5,xception_df40,low,0.462609,0.504596
10,efficientnet_b4,low,0.509957,0.531624
10,effort_clip_l14,high,0.522004,0.519312
10,f3net,high,0.522004,0.543891
10,i3d,low,0.480064,0.551536
10,videomae,low,0.55561,0.586515
10,xception_df40,low,0.479196,0.5006
15,efficientnet_b4,high,0.514406,0.448303
15,effort_clip_l14,high,0.530812,0.540587
15,f3net,high,0.558223,0.554899
15,i3d,high,0.51547,0.471925
15,videomae,low,0.526611,0.572916
15,xception_df40,low,0.442077,0.492944
20,efficientnet_b4,low,0.457681,0.570717
20,effort_clip_l14,high,0.538051,0.49155
20,f3net,high,0.591038,0.595801
20,i3d,low,0.488104,0.600071
20,videomae,low,0.464794,0.623377
20,xception_df40,low,0.441679,0.529621
30,efficientnet_b4,low,0.505233,0.610978
30,effort_clip_l14,low,0.538647,0.367788
30,f3net,high,0.558776,0.605369
30,i3d,high,0.465021,0.424679
30,videomae,low,0.634461,0.571314
30,xception_df40,low,0.572464,0.463141
60,efficientnet_b4,low,0.512821,0.4432
60,effort_clip_l14,high,0.623397,0.4928
60,f3net,high,0.676282,0.7968
60,i3d,low,0.49359,0.5616
60,videomae,high,0.665064,0.4128
60,xception_df40,low,0.394231,0.5344
