backend,window_s,calibration_runs,validation_runs,test_runs,skipped_runs,skipped_run_ids,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,validation_flicker,test_auc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_ttfd_s,test_flicker
efficientnet_b4,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.05,0.0,1,0.1,1.0,0.7504166666666667,0.519435,0.5,0.9920106524633822,0.6648817492190987,2.202937249666222,0.02124999999999996,0.563758389261745,0.554629,0.49933155080213903,0.9979959919839679,0.665627088438405,2.2355289421157685,0.0,0.2807486631016043
effort_clip_l14,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.9911160466407551,0.7504729871767921,0.476453,0.5040733197556008,0.988681757656458,0.6677158273381295,2.0427236315086783,0.20238095238095238,0.0814663951120163,0.482432,0.49644429393836775,0.9792919171676687,0.6588764044943819,2.035928143712575,0.382109756097561,0.06095496105655265
f3net,1,6,5,5,0,,high,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.519515,0.4984924623115578,0.9906790945406125,0.6632493871183419,2.0427236315086783,0.0,0.06030150753768844,0.539355,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
i3d,1,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.9950027762354248,0.7479131886477461,0.506952,0.500170010200612,0.9793608521970706,0.6621652036911997,2.0026702269692924,0.16666666666666666,0.08160489629377762,0.549829,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.533332,0.49765258215962443,0.9880159786950732,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.02012072434607646,0.569573,0.4984984984984985,0.9979959919839679,0.664886515353805,2.0758483033932134,0.036585365853658534,0.04004004004004004
xception_df40,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.9838978345363687,0.7436005035669324,0.467627,0.5006752194463201,0.9873501997336884,0.6644265232974911,2.0427236315086783,0.2261904761904762,0.08102633355840647,0.493191,0.49631367292225204,0.9893119572478289,0.6610131667038608,2.0758483033932134,0.1951219512195122,0.020107238605898123
efficientnet_b4,5,6,5,5,0,,low,strict_0.10,0.22,0.22,0.12,0.1,1,0.1,1.0,0.751199165797706,0.51713,0.4984594317014721,0.9693741677762983,0.658376667420303,2.0026702269692924,0.4726666666666664,0.22595001711742554,0.555667,0.49966465459423204,0.9953239812959251,0.6653270819379326,2.0758483033932134,0.0895487804878051,0.060362173038229376
effort_clip_l14,5,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7505730360491769,0.52819,0.500503524672709,0.992676431424767,0.6654764561481813,2.0427236315086783,0.12619047619047621,0.04028197381671702,0.531535,0.49815621857190745,0.9926519706078825,0.6633928571428571,2.1157684630738522,0.0,0.16091183372443849
f3net,5,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.527391,0.49899665551839467,0.9933422103861518,0.6642920747996438,2.0427236315086783,0.0,0.04013377926421405,0.541527,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
i3d,5,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.997223764575236,0.7489574645537947,0.487882,0.5015259409969481,0.9846870838881492,0.6645697596045833,2.0026702269692924,0.16666666666666666,0.08138351983723296,0.548984,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
