backend,window_s,polarity,threshold,t_on,t_off,hysteresis_gap,persistence_windows,selected_policy,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,test_f1,test_auc
efficientnet_b4,1,low,0.05,0.05,0.05,0.0,1,strict_0.10,0.6648817492190987,2.202937249666222,0.02124999999999996,0.665627088438405,0.554629
effort_clip_l14,1,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6677158273381295,2.0427236315086783,0.20238095238095238,0.6588764044943819,0.482432
f3net,1,high,0.05,0.05,0.0,0.05,1,strict_0.10,0.6632493871183419,2.0427236315086783,0.0,0.6657771847898598,0.539355
i3d,1,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6621652036911997,2.0026702269692924,0.16666666666666666,0.6657771847898598,0.549829
videomae,1,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.664886515353805,0.569573
xception_df40,1,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6644265232974911,2.0427236315086783,0.2261904761904762,0.6610131667038608,0.493191
efficientnet_b4,5,low,0.22,0.22,0.12,0.1,1,strict_0.10,0.658376667420303,2.0026702269692924,0.4726666666666664,0.6653270819379326,0.555667
effort_clip_l14,5,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6654764561481813,2.0427236315086783,0.12619047619047621,0.6633928571428571,0.531535
f3net,5,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6642920747996438,2.0427236315086783,0.0,0.6657771847898598,0.541527
i3d,5,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6645697596045833,2.0026702269692924,0.16666666666666666,0.6657771847898598,0.548984
videomae,5,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.664886515353805,0.565339
xception_df40,5,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6645753977145417,2.0427236315086783,0.2261904761904762,0.6611570247933884,0.494246
efficientnet_b4,10,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.556241
effort_clip_l14,10,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6669638876504682,2.0427236315086783,0.0,0.6642904878592114,0.550297
f3net,10,high,0.04,0.04,0.04,0.0,1,strict_0.10,0.666815144766147,2.0427236315086783,0.0,0.6665182546749777,0.560508
i3d,10,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6669656873738505,2.0026702269692924,0.16666666666666666,0.6657771847898598,0.537936
videomae,10,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6616105286638412,2.0427236315086783,0.2261904761904762,0.664886515353805,0.559067
xception_df40,10,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6647243388614972,2.0427236315086783,0.2261904761904762,0.6614525139664805,0.496258
efficientnet_b4,15,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.55426
effort_clip_l14,15,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6684480071253618,2.0427236315086783,0.0,0.6657771847898598,0.572402
f3net,15,high,0.04,0.04,0.04,0.0,1,strict_0.10,0.6675555555555556,2.0427236315086783,0.0,0.6659252669039146,0.591626
i3d,15,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6666666666666666,2.0427236315086783,0.16666666666666666,0.6657771847898598,0.523501
videomae,15,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6583184257602862,2.0427236315086783,0.35454761904761883,0.6638449543328134,0.550647
xception_df40,15,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6644250168123739,2.0427236315086783,0.23809523809523808,0.6618962432915921,0.499329
efficientnet_b4,20,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.448269
effort_clip_l14,20,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6681494661921709,2.082777036048064,0.0,0.6659252669039146,0.587644
f3net,20,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.617302
i3d,20,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6659207876482434,2.0427236315086783,0.16666666666666666,0.6657771847898598,0.514687
videomae,20,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6598168416350235,2.0427236315086783,0.21428571428571427,0.664886515353805,0.546902
xception_df40,20,low,0.05,0.05,0.0,0.05,1,strict_0.10,0.6644250168123739,2.0427236315086783,0.23809523809523808,0.6627854903716973,0.50307
efficientnet_b4,30,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.559039
effort_clip_l14,30,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.605884
f3net,30,high,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.616358
i3d,30,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.665773610180844,2.0427236315086783,0.0,0.6657771847898598,0.522421
videomae,30,low,0.13,0.13,0.03,0.1,1,strict_0.10,0.6610131667038607,2.0427236315086783,0.25,0.6645893612285778,0.554833
xception_df40,30,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.642791551882461,2.12283044058745,0.7528690476190475,0.6548992984838199,0.501566
efficientnet_b4,60,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.587384
effort_clip_l14,60,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6307112576542628,1.9626168224299068,1.429547619047618,0.6541336353340884,0.354901
f3net,60,high,0.22,0.22,0.22,0.0,1,strict_0.10,0.6674147217235189,2.12283044058745,0.1788809523809522,0.6704035874439462,0.62428
i3d,60,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6672589960017771,2.0427236315086783,0.0,0.6657771847898598,0.510673
videomae,60,low,0.2,0.2,0.2,0.0,1,strict_0.10,0.6621833669580812,2.082777036048064,0.27380952380952384,0.6613119143239624,0.541907
xception_df40,60,low,0.01,0.01,0.01,0.0,1,strict_0.10,0.6632333184057323,2.082777036048064,0.20238095238095238,0.6606982990152194,0.521313
