gate,window_s,compliant_backends,validation_winner,validation_winner_auroc,validation_winner_f1,validation_winner_false_alerts_per_min,validation_winner_false_alert_time_ratio,validation_winner_ttfd_s,validation_mean_auroc,validation_mean_f1,validation_mean_false_alerts_per_min,validation_mean_false_alert_time_ratio,validation_mean_ttfd_s,test_mean_auroc,test_mean_f1,test_mean_false_alerts_per_min,test_mean_false_alert_time_ratio,test_mean_ttfd_s
strict,1,6,videomae,0.533332,0.173357,0.200267,0.045394,15.279369,0.5038856666666667,0.12209066666666667,0.2937248333333333,0.052403333333333336,15.727764,0.5315015000000001,0.1519065,0.3459745,0.06243066666666667,15.8372805
strict,5,6,videomae,0.534979,0.39823,0.885906,0.201342,11.97069,0.5022191666666667,0.211143,0.3691275,0.08780766666666666,14.841128999999999,0.5334963333333334,0.2661345,0.5016948333333333,0.142373,14.314333333333334
strict,10,6,videomae,0.55561,0.277228,0.364865,0.148649,13.946167,0.5114725,0.3558325,0.6283785,0.22297299999999998,12.414107166666668,0.538913,0.4153148333333333,0.6375838333333333,0.287472,11.571182666666667
strict,15,6,f3net,0.558223,0.628019,0.938776,0.408163,6.310286,0.5145998333333334,0.39699433333333334,0.5918366666666667,0.27210883333333336,11.448811666666668,0.5135956666666667,0.37657666666666667,0.5910655,0.31615116666666665,11.876270333333334
strict,20,6,f3net,0.591038,0.606061,0.592105,0.539474,6.020536,0.49689116666666666,0.376548,0.361842,0.3355261666666667,11.6100815,0.5685228333333333,0.45883883333333336,0.448052,0.37013,10.147910666666666
strict,30,6,videomae,0.634461,0.449438,0.259259,0.425926,10.094393,0.545767,0.47291883333333334,0.24691333333333335,0.39197533333333334,9.595797666666666,0.5072115,0.4486136666666667,0.25641033333333335,0.5096153333333333,9.3562315
strict,60,6,f3net,0.676282,0.716981,0.208333,0.333333,5.853298,0.5608975,0.4691558333333333,0.19444433333333333,0.4444445,9.690325666666666,0.5402666666666667,0.5343683333333333,0.20666666666666667,0.42666666666666664,8.497201166666667
research,1,6,videomae,0.533332,0.173357,0.200267,0.045394,15.279369,0.5038856666666667,0.15979583333333333,0.44058749999999997,0.08455733333333333,15.042021833333333,0.5315015000000001,0.186471,0.47904183333333333,0.0928145,14.974682999999999
research,5,6,videomae,0.534979,0.403509,0.926174,0.208054,11.931762,0.5022191666666667,0.28153116666666667,0.5369126666666667,0.13982116666666666,13.766952666666667,0.5334963333333334,0.3078571666666667,0.6033896666666666,0.17740116666666667,13.575055
research,10,6,videomae,0.55561,0.292237,0.405405,0.236486,13.50369,0.5114725,0.3464276666666667,0.5743243333333333,0.21621616666666665,12.581958166666666,0.538913,0.43259716666666664,0.6510065,0.2863535,11.126780333333333
research,15,6,f3net,0.558223,0.628019,0.938776,0.408163,6.310286,0.5145998333333334,0.42675383333333333,0.5782313333333333,0.3061225,10.768635166666666,0.5135956666666667,0.403364,0.611684,0.3659793333333333,11.294999833333334
research,20,6,f3net,0.591038,0.606061,0.592105,0.539474,6.020536,0.49689116666666666,0.4687903333333333,0.4539471666666667,0.3859648333333333,10.132801666666666,0.5685228333333333,0.47142816666666665,0.5454546666666666,0.4718616666666667,8.991937166666666
research,30,6,videomae,0.634461,0.449438,0.259259,0.425926,10.094393,0.545767,0.4730835,0.25308616666666667,0.40740733333333334,9.594986166666667,0.5072115,0.4505246666666667,0.2500001666666667,0.503205,9.397546666666667
research,60,6,f3net,0.676282,0.716981,0.208333,0.333333,5.853298,0.5608975,0.4691558333333333,0.19444433333333333,0.4444445,9.690325666666666,0.5402666666666667,0.5343683333333333,0.20666666666666667,0.42666666666666664,8.497201166666667
