backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.55375,0.55375,200,164,0.342573,0.135944,0.133865,0.254079,0.321695,0.415916,0.595688,0.365568,0.135074,0.164975,0.270214,0.355112,0.439602,0.643727,0.022996
efficientnet_b4,all,score_raw,high,0.512387,0.512387,395,369,0.343025,0.147249,0.135468,0.240573,0.316152,0.42583,0.608239,0.348563,0.154384,0.123799,0.239944,0.333416,0.436302,0.6426,0.005539
effort_clip_l14,calibration,score_raw,high,0.560274,0.560274,200,164,0.796154,0.228858,0.338857,0.669067,0.875962,0.982452,0.997909,0.834786,0.216299,0.391177,0.761806,0.92765,0.988276,0.999393,0.038632
effort_clip_l14,all,score_raw,high,0.547041,0.547041,395,369,0.797089,0.246129,0.215202,0.685933,0.908252,0.98275,0.99852,0.831037,0.221943,0.392176,0.7414,0.927935,0.989242,0.999406,0.033948
f3net,calibration,score_raw,high,0.594116,0.594116,200,164,0.475071,0.187354,0.174946,0.330672,0.483887,0.598247,0.796505,0.535893,0.184883,0.243163,0.386788,0.544949,0.657907,0.839787,0.060822
f3net,all,score_raw,high,0.57703,0.57703,395,369,0.492697,0.192056,0.182535,0.356533,0.492882,0.615038,0.821657,0.549946,0.200943,0.240739,0.390145,0.54554,0.677677,0.930516,0.05725
i3d,calibration,score_raw,low,0.441585,0.558415,200,164,0.67286,0.04837,0.570468,0.650108,0.679907,0.710453,0.728736,0.664215,0.047876,0.579568,0.626216,0.673264,0.703009,0.726063,-0.008645
i3d,all,score_raw,low,0.477825,0.522175,393,368,0.68451,0.04219,0.593056,0.663042,0.696077,0.716845,0.729437,0.681195,0.043246,0.591126,0.659495,0.695721,0.714486,0.729195,-0.003314
videomae,calibration,score_raw,low,0.4825,0.5175,200,164,0.433403,0.217133,0.076974,0.267529,0.429172,0.577275,0.810009,0.418813,0.235084,0.043349,0.225883,0.418801,0.610009,0.813455,-0.014591
videomae,all,score_raw,low,0.466687,0.533313,395,369,0.44919,0.223584,0.08079,0.27104,0.445721,0.609557,0.827914,0.422736,0.236672,0.040993,0.230743,0.423277,0.589134,0.835452,-0.026454
xception_df40,calibration,score_raw,high,0.524085,0.524085,200,164,0.719747,0.240139,0.286356,0.563451,0.769478,0.928558,0.993342,0.745921,0.219685,0.32113,0.603396,0.817603,0.927235,0.983766,0.026174
xception_df40,all,score_raw,high,0.528853,0.528853,395,369,0.728421,0.238032,0.284564,0.569598,0.792248,0.933245,0.992208,0.752599,0.231384,0.247311,0.639347,0.830782,0.935929,0.993956,0.024178
