backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.526393,0.526393,597,487,0.345512,0.161082,0.127061,0.229282,0.31555,0.446932,0.651206,0.360939,0.171696,0.107783,0.238131,0.345857,0.461623,0.684725,0.015427
efficientnet_b4,all,score_raw,high,0.490676,0.490676,1190,1094,0.347223,0.171876,0.117349,0.22304,0.314105,0.448881,0.6761,0.343504,0.182094,0.100679,0.206317,0.318997,0.454639,0.691027,-0.003719
effort_clip_l14,calibration,score_raw,high,0.551678,0.551678,598,487,0.800395,0.276459,0.157899,0.701392,0.950618,0.993718,0.999832,0.837496,0.249866,0.216737,0.782977,0.966312,0.997493,0.999916,0.037101
effort_clip_l14,all,score_raw,high,0.536705,0.536705,1191,1094,0.797447,0.283869,0.131022,0.693977,0.953439,0.994898,0.999906,0.834404,0.251487,0.199401,0.781645,0.964837,0.996984,0.999907,0.036957
f3net,calibration,score_raw,high,0.549659,0.549659,598,487,0.485045,0.22072,0.146897,0.317566,0.493928,0.625804,0.889892,0.523673,0.226959,0.140461,0.366482,0.519324,0.679729,0.918028,0.038628
f3net,all,score_raw,high,0.543123,0.543123,1191,1092,0.502394,0.224431,0.137372,0.344406,0.500787,0.641725,0.903971,0.540408,0.235523,0.155373,0.375774,0.523036,0.69873,0.967014,0.038014
i3d,calibration,score_raw,low,0.451769,0.548231,598,487,0.672346,0.056648,0.556264,0.636971,0.690391,0.721501,0.730581,0.663935,0.05772,0.552801,0.622742,0.680355,0.714789,0.73014,-0.008411
i3d,all,score_raw,low,0.472308,0.527692,1186,1090,0.684812,0.049492,0.575245,0.662175,0.703089,0.723941,0.730644,0.680531,0.050796,0.575654,0.653744,0.698004,0.722042,0.730479,-0.004282
videomae,calibration,score_raw,low,0.483779,0.516221,598,487,0.433588,0.278108,0.023465,0.183119,0.423592,0.64942,0.906662,0.418884,0.284286,0.014101,0.172838,0.402939,0.637876,0.895311,-0.014704
videomae,all,score_raw,low,0.464942,0.535058,1191,1094,0.452134,0.273738,0.031528,0.217856,0.445381,0.661608,0.908127,0.419516,0.278086,0.021905,0.17718,0.411,0.626196,0.9078,-0.032618
xception_df40,calibration,score_raw,high,0.521835,0.521835,598,487,0.723821,0.283287,0.127469,0.539219,0.835563,0.965428,0.99889,0.747089,0.270592,0.142773,0.595811,0.853503,0.975174,0.998579,0.023267
xception_df40,all,score_raw,high,0.518981,0.518981,1191,1094,0.732895,0.275473,0.165963,0.547214,0.843164,0.966073,0.998831,0.750698,0.269431,0.168903,0.598583,0.862004,0.972696,0.998652,0.017803
